Atlas_Number,Dating_Type,Dating_Comments
0001,Artefactual,Pottery evidence.
0001,Artefactual,The finding of Iron Age and Roman pottery suggests late Iron Age to Roman period occupation.
0004,Artefactual,Iron Age pottery
0004,Artefactual,Samian ware and coins of Neronian date with Spanish amphora.
0005,Morphology/Earthwork/Typology,General morphological survey and historical references suggest dating.
0007,Artefactual,Coin of Lucilla in Hereford Museum and 4th century AD Roman ware fragment suggest Roman influence.
0007,Artefactual,Flint scraper found of possible early date.
0008,Artefactual,Neolithic implements and Mesolothic microlith found as result of tree clearance.
0011,Artefactual,Romano-British sherds found by Stanford. Bronze Age sherd.
0012,Artefactual,"Iron Age pottery from the main enclosure. Coarse ware predominated in the annexe, but also included some Samian ware."
0012,Artefactual,Triskele pendants found.
0012,C14,Stanford - problematic as vast range 1700 BC to 750 BC?
0012,Morphology/Earthwork/Typology,Stanford suggested seven periods of occupation as a result of the renewal of the gates.
0013,Artefactual,Iron Age pottery.
0013,Artefactual,Neolithic polished axe; Iron age to Roman pottery; Roman coins.
0015,Artefactual,Neolithic struck flints (20) and Romano-British pottery
0017,Artefactual,Pottery and VCP of middle Iron Age and late Iron Age date.
0017,C14,null
0019,Artefactual,Roman bricks found.
0021,Artefactual,Narrow trench excavation found Iron Age pottery and briquetage.
0022,Artefactual,Single sherd of possible late Bronze Age and early/middle Iron Age pottery.
0022,C14,Various dates determined.
0024,C14,Dating from two C14 dates taken during Stanford's excavations.
0025,Artefactual,Chance finds of
0025,Artefactual,Fragments of 'duck stamped pottery from ploughed down rampart at NE corner. coarse black pottery similar to that from Sutton Walls. Small fragment of Romano-British globular jar from W side of fort.
0028,Artefactual,Evidence of Roman occupation. Pottery in Roman level greater than earlier layers.
0031,Artefactual,Iron Age pottery with Romano-British ware in great abundance. Metal-ware and Five Roman coins.
0032,Artefactual,The only dating evidence is that of some Romano-British pottery in occupation layers.
0034,Artefactual,Bronze Roman coins.
0034,Artefactual,"Fragments of dark grey/black ware, similar to that from British Camp and light red ware, similar to that from Sutton Walls. Some Romano-British sherds."
0040,Artefactual,Chance finds of small fragments of Samian ware and black ware found before 1958 suggest some Romano-British or Roman activity.
0040,Morphology/Earthwork/Typology,"The site is probably of late Iron Age date, but this is conjecture."
0046,Artefactual,Excavation found 'duck-stamped' pottery of c. 100 BC. A mortarium rim was found outside the ramparts.
0048,Morphology/Earthwork/Typology,null
0048,Other,Rectangular building (Roman temple?) excavated in the 1930's.
0049,Artefactual,Neolithic/Bronze Age worked flints and scrapers found.
0061,C14,P. Gelling excavation 1957-61.
0061,Morphology/Earthwork/Typology,null
0062,Artefactual,Roman coins found.
0066,Other,Evidence of WWII emplacement.
0067,Artefactual,VCP (briquetage) found in Stanford's excavations.
0067,Morphology/Earthwork/Typology,"Stanford suggested a date of between the late Bronze Age to the Iron Age for occupation, there being no evidence for Roman activity."
0071,Artefactual,Roman coin hoard.
0071,C14,Charcoal from pit gave dates of 2020 BP (162BC-53AD) and 2170 BP (363BC- 119BC).
0071,Other,Copper alloy from layers showed hillfort in existence before late 2nd century BC.
0071,Other,Evidence to suggest that ores mined and used for manufacture of bronze weapons and implements from later Bronze Age onwards and there is a cave known as the Ogof inside the hillfort probably Roman mine.
0075,Artefactual,VCP and bronze working finds
0075,Morphology/Earthwork/Typology,"Probable late Bronze Age origins, with occupation to the late Iron Age."
0076,Artefactual,"Roman pottery and coins found of c. 2nd-4th century AD However, worked flint could indicate earlier occupation or activity."
0077,Other,Cobbled surface of probable Iron Age date found by excavation of SW entrance.
0078,Artefactual,Possible Neolithic occupation of the col as flints found. Rampart possibly late iron Age.
0078,Morphology/Earthwork/Typology,Rampart possibly late Iron Age.
0081,Artefactual,Of significance were earlier pottery sherds and a Bronze Age cremation urn with flint flakes indicating a possible early origin to the site or early activity.
0083,Artefactual,Evidence of Mesolithic macehead and Neolithic hearth and Windmill Hill ware.
0084,Artefactual,"Middle to late Iron Age to Roman pottery found. Bronze, sub Roman to Roman cauldron found in 1906 with evidence of Roman timber building of c. 4th century AD."
0089,Morphology/Earthwork/Typology,Use of cross-dykes suggest a mid to late Bronze Age origin of the site.
0090,Artefactual,"Late Bronze Age pottery of 9th-8th centuries BC suggest an early origin to the fort, in keeping with other major Marches sites such as Y Breiddin,"
0090,Artefactual,Two javelin heads were found of mid 1st century AD date.
0090,C14,C14 dating of charcoal from a post-built structure found dates of 7th-5th and 5th-4th centuries BC.
0091,Morphology/Earthwork/Typology,Timber revetted rampart may be late Bronze Age.
0091,Morphology/Earthwork/Typology,Two late Bronze Age ring cairns in the interior.
0092,Artefactual,Iron Age and VCP pottery dating.
0092,C14,"C14 and Iron Age and VCP pottery dating indicated occupation from the 3rd century BC to the 1st century AD, just before the Roman Conquest."
0095,Artefactual,"Early Iron Age pottery; quernstone, flint tools, pot boilers and possible sling shot"
0095,Morphology/Earthwork/Typology,null
0097,Morphology/Earthwork/Typology,null
0099,Artefactual,Possible Iron Age pottery.
0100,Artefactual,Bronze Age
0100,Artefactual,Mesolithic and Neolithic
0101,Artefactual,null
0102,Artefactual,Late Neolithic\early Bronze Age flints recovered from in-situ pits
0102,Artefactual,Surface find - coin of Cunobelin (Stukeley 1724)
0102,Artefactual,"Three middle-late Iron Age saucepan pot sherds of St Catherine's Hill, Worthy Down type. Neolithic hammer stone"
0104,Artefactual,"Surface finds of 29 sherds of coarse greyware and one small samian fragment in May 1978. Donated by Dr D Welsby, Univ of Newcastle upon Tyne, June 1983. At Tullie House, Acc no 121-1983 (Richardson 1990)."
0105,Artefactual,"Animal bone, some burnt; flint and pottery fragments, fragment of a possible Iron Age loom weight"
0108,Artefactual,Roman or later where dateable
0109,Artefactual,Roman roofing tile
0113,C14,AD 538 - 676 and cal AD 560 - 690
0114,Artefactual,null
0115,Artefactual,Topsoil finds of 15th or 16th century pottery fragments
0116,Artefactual,Neolithic and Bronze Age finds recovered
0117,C14,Charcoal recovered from the fill of the inner ditch has produced a radiocarbon date of 601-394 Cal BC (Bewley 1992
0134,Artefactual,1st century BC pottery from ditch at SE entrance
0135,Artefactual,Iron Age and Romano-British pottery
0135,Morphology/Earthwork/Typology,Form of bivallate hillfort
0136,Artefactual,Pottery
0137,Artefactual,a good pottery typology
0137,C14,a good suite of 24 dates
0138,Morphology/Earthwork/Typology,Appears to be Iron Age
0139,Artefactual,Pottery from excavation (Wood 1954)
0140,Artefactual,Pottery
0141,Artefactual,surface pottery
0142,Artefactual,pottery
0143,Artefactual,pottery
0144,Artefactual,Pottery from surface collection
0145,Artefactual,"Small amounts of Iron Age pottery from excavations, possibly early and middle Iron Age."
0146,Artefactual,Iron Age and Romano-British pottery typology
0148,Artefactual,Pottery from excavations
0149,Artefactual,Pottery from excavation
0151,Artefactual,Iron Age pottery from the interior/rampart surface
0152,Artefactual,pottery from excavation
0154,Morphology/Earthwork/Typology,null
0155,Artefactual,"Pottery typology, good excavated stratigraphical contexts"
0158,Morphology/Earthwork/Typology,Assumed Iron Age
0159,Artefactual,null
0159,Other,null
0167,Artefactual,Pottery from excavation
0169,Artefactual,Pottery
0171,Artefactual,surface finds of Iron Age pottery
0171,Morphology/Earthwork/Typology,Hillfort morphology and setting
0172,Artefactual,"Small amounts of pottery, coins"
0172,Morphology/Earthwork/Typology,Earthworks and internal features (roundhouses) suggest Iron Age
0173,C14,From lower fills of ditches
0174,Artefactual,null
0176,Morphology/Earthwork/Typology,Relates to broch architecture
0204,Other,Placename attribution
0229,C14,null
0232,Morphology/Earthwork/Typology,null
0241,Artefactual,null
0241,C14,null
0261,Morphology/Earthwork/Typology,null
0310,Artefactual,Pottery said to be early medieval identified by Charles Thomas in the Dumfries Museum
0312,Artefactual,"Range of imported pottery and glass, and numerous mould fragments"
0312,C14,Five dates from various contexts
0326,Artefactual,null
0343,C14,null
0346,Artefactual,null
0349,Morphology/Earthwork/Typology,Definite medieval ringwork and bailey castle
0349,Morphology/Earthwork/Typology,"Possible hillfort dates not determined, but form of the enclosure site indicates probably Iron Age."
0356,Morphology/Earthwork/Typology,Later medieval ringwork and bailey castle and 19th century lead mining settlement.
0361,Morphology/Earthwork/Typology,null
0362,Morphology/Earthwork/Typology,Medieval stronghold or manor house on site.
0363,Morphology/Earthwork/Typology,Norman and later developments within earlier Iron Age enclosure.
0364,Artefactual,Bronze early Iron Age rings.
0364,Other,WWII recording.
0366,Artefactual,Iron Age and Roman coins.
0368,Other,Suggested as early to middle Iron Age (Bowden 2005).
0369,Artefactual,Sherd of Iron Age pottery from possible ditch.
0375,Artefactual,Early and middle Iron Age pottery.
0375,C14,null
0378,Artefactual,Iron Age pottery and 2nd century BC spearhead.
0378,C14,Skeletons.
0386,Artefactual,"On basis of artefacts recovered from mound overlain by tail of inner rampart, glass bead being dated to post 300BC and finds from pits within interior."
0387,Artefactual,Iron Age and Romano-British pottery. Military digging 1939-45 exposed early and middle Iron Age pottery.
