Atlas_Number,Entrances_Display_Name,Entrances_Number,Entrances_Type,Entrances_Position,Entrance_Summary,Entrances_Comments
0001,EN0001,1,In-turned,South east,"A less complex, than that to the W, but, nevertheless, impressive inturned entrance.",null
0001,EN0001,2,In-turned,South west,"The SW is more complex, where the S rampart curves behind the W rampart, which itself extends S, so increasing the nature of the defences of what is possibly the principal entrance.",Southern rampart curves behind the western rampart.
0001,EN0001,2,Other Forms,South west,Complex nature of ramparts here.,null
0002,EN0002,1,In-turned,South,The only definite original entrance with good inturn.,"Simple gap entrance, slightly offset"
0002,EN0002,2,Simple Gap,North west,"That on the NW is more complex, although a simple gap in the inner rampart, it is cut back to form a broad inner traverse with ditch and possible hornwork.",More complex entrance
0002,EN0002,2,Hornwork,North west,Possible hornwork.,null
0003,EN0003,1,In-turned,North,Complex inturned entrance with curving ramparts and banks.,Complex curving entrance with inturn and banks.
0003,EN0003,1,Oblique,North,Curving ramparts and banks.,null
0003,EN0003,2,Simple Gap,South west,Simple entrance cuttingthrough the ramparts with natural causeway.,Simple entrance cutting through the ramparts with natural causeway.
0004,EN0004,1,Simple Gap,East,Gap in rampart widened and possibly original.,Off-set entrance
0004,EN0004,2,Simple Gap,North east,Entrance widened and possibly original.,Entrance to north-east may be modern
0005,EN0005,1,Out-turned,North east,Phase I entrance.,Phase II entrance
0005,EN0005,2,Out-turned,South west,Phase I entrance.,Phase II entrance
0005,EN0005,3,Over-lapping,South,Phase II entrance. Contrived to face W. Enlarged rampart terminals and slightly overlapping counterscarp terminals.,Phase II entrance
0005,EN0005,4,Over-lapping,West,Phase II entrance.Enlarged rampart terminals and slightly overlapping counterscarp terminals.,Phase II entrance
0005,EN0005,5,Over-lapping,West,Phase II entrance.,Phase II entrance
0005,EN0005,6,Over-lapping,North,Phase II entrance. Contrived to face E. Enlarged rampart terminals and slightly overlapping counterscarp terminals.,null
0006,EN0006,1,Simple Gap,East,Cropmark indication only of simple gap to E.,Cropmark indication only of simple gap to east.
0007,EN0007,1,In-turned,East,"E entrance inturned with possible mound or bastion, but not in original condition.",Slightly inturned with possible bastion.
0007,EN0007,1,Other Forms,East,Possible mound or bastian.,null
0008,EN0008,1,Oblique,North east,This original entrance has a raking form (or oblique?) cut through the rock.,Raking entrance cut through the rock.
0009,EN0009,1,Simple Gap,North,Defended by slight rampart on E terminating with a mound.,Defended by slight rampart on east terminating with a mound.
0009,EN0009,2,Simple Gap,South,Entrance formed by sloping causeway.,Formed by sloping causeway.
0010,EN0010,1,In-turned,North,Gap entrance with slight inturns through the ramparts.,Gap entrance through the ramparts with slight inturns.
0010,EN0010,2,In-turned,South,Gap entrance with slight inturns through the ramparts to E enclosure.,Gap through the ramparts with slight inturns.
0010,EN0010,3,In-turned,West,"Complex staggered and principal entrance, defended by return of the inner rampart on both sides.",Complex staggered and principal entrance.
0010,EN0010,3,Over-lapping,West,Complex and staggered,null
0010,EN0010,3,Outworks,West,null,null
0011,EN0011,1,In-turned,South east,Long approach passage with inturns and possible guard cahmbers.,Long approach passage with possible guard chambers.
0011,EN0011,1,Passage-way/Corridor,South east,Long passageway.,null
0011,EN0011,1,Recesses/Guard Chambers,South east,Possible guard chambers.,null
0011,EN0011,2,In-turned,East,Long approach passage with inturns and possible guard chambers.,Long passage approach with possible guard chambers.
0011,EN0011,2,Passage-way/Corridor,East,Long passageway.,null
0011,EN0011,2,Recesses/Guard Chambers,East,Possible guard chambers.,null
0012,EN0012,1,Simple Gap,South west,Now main public entrance.,Complicated series of outworks and hollow-way.
0012,EN0012,2,Hollow Way,North east,Hollow way forms approach to fort.,Two inner ramparts turned and three mounds.
0012,EN0012,2,In-turned,North east,Two inner ramparts turned and three mounds.,null
0012,EN0012,2,Outworks,North east,Complicated series of outworks.,null
0013,EN0013,1,Out-turned,East,SE slightly out-turned entrance with traces of a bank or mound outside giving a long passageway. Possible Civil War and modern alterations.,Possible alterations modern.
0013,EN0013,1,Passage-way/Corridor,East,Long passageway.,null
0015,EN0015,1,Simple Gap,South east,Simple gap sited midway along the rampart.,Sited midway along rampart
0016,EN0016,1,Simple Gap,North,"Entrance not mutillated as suggested, but a causeway across the ditch.",Causeway across the ditch.
0017,EN0017,1,Simple Gap,North west,"Detail to be determined from excavation. However, the gap located at the NW apex probably original.",Sited at the north-west apex
0019,EN0019,1,In-turned,West,"No detail recorded, but probably original.",No detail recorded but probably original.
0019,EN0019,2,Simple Gap,East,"No detail recorded, but probably original.",Slight indent to bank. Probably original entrance.
0020,EN0020,1,Simple Gap,West,Simple gap W entrance probably original.,Path to site runs through.
0021,EN0021,1,Over-lapping,South east,Very fine and elaborate entrance.,Very fine and elaborate entrance.
0021,EN0021,2,In-turned,North east,Interesting inturned passageway entrance.,Interesting passageway entrance.
0021,EN0021,2,Passage-way/Corridor,North east,null,null
0022,EN0022,1,Simple Gap,North east,Entrance with access up natural slope probably original.,Entrance with access up natural slope.
0022,EN0022,2,Simple Gap,South west,Narrow rock-cut entrance probably original.,Narrow rock-cut entrance.
0022,EN0022,3,Simple Gap,South east,Destroyed.,null
0023,EN0023,1,Simple Gap,South west,No detail recorded. Simple gap default.,Detail to be determined
0024,EN0024,1,In-turned,North,Fine inturned entrance now forms the main access route into the hillfort.,Oblique inturned entrance
0024,EN0024,1,Oblique,North,Oblique entry to site.,null
0024,EN0024,2,In-turned,South,Narrow corridor with fine inturns.,Narrow corridor with 10m long inturns
0024,EN0024,2,Passage-way/Corridor,South,Narrow corridor.,null
0025,EN0025,1,Other Forms,South west,Shallow valley running up to SW ramparts and strengthening may indicate an entrance.,Only slight indication of entrance.
0026,EN0026,1,Simple Gap,South,"Possible that there was an entrance on the S line where there is now a hedge, but this is only conjecture.",null
0027,EN0027,1,Simple Gap,South,Entrance visible and aligned due S as a gap between all three ditches.,Entrance aligned south as gap between all three ditches.
0028,EN0028,1,Simple Gap,North east,Possible entrance at E end of rampart where 20m gap before scarp edge.,Entrance type conjecture only
0028,EN0028,2,Simple Gap,West,There is a slight possibility that there might be an entrance on the W side.,null
0029,EN0029,1,In-turned,North east,Original inturned entrance.,Approached by a trackway
0029,EN0029,2,Simple Gap,South west,Simple gap entrance may be original.,Possibly original
0030,EN0030,1,In-turned,West,Slight inturned and protected approach on the W side.,Protected approach on the western side
0031,EN0031,1,In-turned,East,Badly affected by the toxic waste dump.,Damaged
0031,EN0031,2,In-turned,West,Shows inturns,Damaged
0032,EN0032,1,In-turned,North,Simple inturned entrance with cobbled paving.,Simple entrance
0034,EN0034,1,In-turned,North,Inturned and curved entrance possibly original in re-entrant angle of site.,Inturned and curved entrance in re-entrant angle of site.
0034,EN0034,1,Oblique,North,Curved.,null
0034,EN0034,2,In-turned,North east,Inturned entrance possibly original.,Inturned entrance possibly original.
0034,EN0034,3,Simple Gap,West,"Mutilated entrance, possibly original.",Too mutilated to define.
0035,EN0035,1,In-turned,South east,Original inturned entrance.,Original entrance.
0035,EN0035,2,In-turned,North west,Possibly original inturned entrance.,Possibly original entrance.
0036,EN0036,1,Simple Gap,South west,"Original SW entrance aligned to Pen Twyn, Brilley.",Original entrance.
0037,EN0037,1,Simple Gap,North east,Possibly original gap entrance at NE corner of site.,Possibly 0riginal gap entrance at north-east corner of site.
0037,EN0037,2,Passage-way/Corridor,South,Interesting passageway through ramparts with inturns. Possibly the main entrance.,Interesting passageway through ramparts with inturns.
0039,EN0039,1,In-turned,East,Defined as former possible site on E? before destruction.,null
0039,EN0039,1,Outworks,East,Possible outworks.,null
0040,EN0040,1,Simple Gap,North east,"The entrance to the NE, next to a steep natural slope, is probably original,",Located next to a steep slope.
0040,EN0040,2,Simple Gap,West,"A probable original entrance, its form unclear.",Then entrance has been widened.
0041,EN0041,1,Simple Gap,South west,Possible causewayed SW entrance.,Possible causewayed entrance.
0042,EN0042,1,In-turned,North,"The site of any entrance has not been determined exactly, but probably at the W end of the N side.",Possible inturn to entrance.
0043,EN0043,1,Simple Gap,North,"Simple gap entrance with possible slight inturns. Possible timber bridge over the ditch, as no causeway visible.",Simple gap with no causeway over the ditch.
0043,EN0043,1,In-turned,North,Possible slight inturns.,null
0043,EN0043,1,Simple Gap,North,"Possible timber bridge over the ditch, as no causeway visible.",null
0045,EN0045,1,In-turned,South east,Traces of an apparent inturned entrance.,null
0046,EN0046,1,Passage-way/Corridor,North east,The principal entrance to the NE is very elaborate with 70 m long passageway and inturned and offset at an oblique angle preventing interior access.,Elaborate with 70m long passageway.
0046,EN0046,1,In-turned,North east,null,null
0046,EN0046,1,Oblique,North east,null,null
0046,EN0046,2,In-turned,South,Entrance to the S has a causewayed approach to a 30 m long inturn.,Causewayed approach.
0046,EN0046,3,Passage-way/Corridor,South west,That to SW (less certain with signs of blocking) has a long narrow passage.,Long narrow passge.
0046,EN0046,3,Blocked,South west,Signs of blocking.,null
0047,EN0047,1,In-turned,North east,"A classic example of an inturned entrance, the inner rampart and the second rampart on the N side turning inwards on either side to create a passageway 40m in length.",Fine well preserved inturned entrance with narrow 40 m passage.
0047,EN0047,1,Passage-way/Corridor,North east,Passageway 40m in length.,null
0047,EN0047,2,Over-lapping,South west,A 'staggered' entrance with the N ramparts overlapping those curving from the S to give a 90m overlooked passageway.,Entrance staggered with 90 m passageway.
0047,EN0047,2,Passage-way/Corridor,South west,90m overlooked passageway.,null
0048,EN0048,1,In-turned,North west,Entrance shows bedrock ruts cut by cart wheels.,null
0048,EN0048,2,In-turned,East,Heavy inturn on the N side.,null
0049,EN0049,1,In-turned,East,More simply constructed than that on W.,null
0049,EN0049,2,In-turned,West,"Slightly staggered W entrance, on the accessible side, heavily defended by massive widely-spaced curving ramparts up to 7 m high from base of a rock-cut ditch.",null
0049,EN0049,2,Over-lapping,West,Slightly staggered.,null
0049,EN0049,3,Oblique,North,"Possible minor offset, or possibly oblique, entrance with causeway to the N across the outer ditch.",null
0050,EN0050,1,In-turned,East,Fine inturned entrance with terraceway down hillside.,null
0050,EN0050,1,Oblique,East,"Engineered terraceway runs obliquely down hillside, probably forming access route to site, as it does today.",null
0050,EN0050,1,Recesses/Guard Chambers,East,Recessed guard chamber on S side.,null
0051,EN0051,1,Simple Gap,South,The rampart stops abruptly at the S end of the site.,Possible entrance at the southern end of the rampart.
0052,EN0052,1,Simple Gap,East,The original entrance is on the E side at 4m wide.,The entrance on the east side is original and 4 m in width.
0052,EN0052,1,Hollow Way,East,Hollow way from external field boundary gap extends to hillfort entrance and clearly used in prehistory.,null
0053,EN0053,1,In-turned,North west,Inturned passageway entrance.,Inturned passageway entrance. Possibly damaged.
0053,EN0053,1,Passage-way/Corridor,North west,null,null
0054,EN0054,1,Simple Gap,North east,4m causewayed gap through the ramparts.,4 m causeway through ramparts.
0056,EN0056,1,In-turned,North east,The bank rises above the interior level.,Banks increase in height near the entrance.
0057,EN0057,1,Simple Gap,North west,Possible.,null
0057,EN0057,2,Simple Gap,South west,Possible.,null
0058,EN0058,1,In-turned,South,Original entrance midway along the S rampart.,Slightly inturned and off-set entrance 6 m wide.
0058,EN0058,1,Oblique,South,Off-set.,null
0059,EN0059,1,Simple Gap,North east,Entrance 12m wide.,Entrance 12 m wide.
0060,EN0060,1,Simple Gap,East,"Simple gap with some masonry still visible,",The actual form of the entrance is by conjecture.
0060,EN0060,2,Simple Gap,West,Simple gap with some masonry still visible.,The actual form of the entrance is by conjecture.
0060,EN0060,3,Simple Gap,North east,Form of entrance not determined and simple gap default.,The form of this possible entrance cannot be determined.
0061,EN0061,1,In-turned,South east,Inturned with deeply inturned narrow passage.,null
0061,EN0061,1,Passage-way/Corridor,South east,Inturned with deeply inturned narrow passage.,null
0061,EN0061,2,Simple Gap,North west,"Possibly original, but could be result of post-medieval limestone quarrying.",null
0061,EN0061,3,Simple Gap,West,"No obvious entrance into inner annexe from perimeter suggests that whole hillfort used as a complete entity, but gaps exist into main enclosure.",null
0062,EN0062,1,Simple Gap,North,Located midway along the N side.,Original entrance midway along the northern side.
0064,EN0064,1,Simple Gap,South west,19th century landscaping here.,Simple gap through the rampart
0065,EN0065,1,Simple Gap,North,Located where the rampart tis truncated by a forestry track.,Possible original entrance
0066,EN0066,1,In-turned,North east,"E side inturned and W side out-turned, possibly because of steep slope on E.",null
0066,EN0066,1,Out-turned,North east,"E side inturned and W side out-turned, possibly because of steep slope on E.",null
0066,EN0066,1,Outworks,North east,"Outworks to site on N, may, or may not, be related to NE entrance.",null
0066,EN0066,2,Simple Gap,South,Simple internal gap with causeway over a ditch into the annexe.,null
0067,EN0067,1,Simple Gap,North east,"Possibly on NE side, but may have been destroyed.",Possible site only.
0068,EN0068,1,Simple Gap,South west,The bank and ditch are broken and slightly hollowed. The probably original entrance is at the SW corner where the bank and ditch are broken and slightly hollowed.,The bank and ditch are broken and slightly hollowed.
0068,EN0068,1,Hollow Way,South west,Slightly hollowed.,null
0069,EN0069,1,In-turned,South,"On the S side, where defences run up to the head of a steep-sided gully, the ends of the rampart turn inwards to form an entrance passageway of 5m width.",Inturned with passageway 5 m wide.
0069,EN0069,1,Passage-way/Corridor,South,"On the S side, where defences run up to the head of a steep-sided gully, the ends of the rampart turn inwards to form an entrance passageway of 5m width.",null
0069,EN0069,2,Simple Gap,East,"Possible simple gap, but undefined entrance.",Possible entrance only; form indefinite.
0071,WA0071,1,In-turned,North,Damaged.,null
0071,WA0071,2,Simple Gap,North east,Damaged and obscured.,null
0073,EN0073,1,In-turned,North east,Possible paired guard chambers to NE entrance which has a causeway across the ditch.,Possible paired guard chambers which has a causeway across the ditch.
0073,EN0073,1,Recesses/Guard Chambers,North east,Possible paired guard chambers to main NE entrance.,null
0073,EN0073,1,Hollow Way,North east,One of the hollow ways to NE entrance could be original.,null
0073,EN0073,2,In-turned,South,Slightly inturned entrance midway along the S side.,Slightly inturned.
0074,EN0074,1,In-turned,East,Elaborate entrance.,null
0074,EN0074,1,Out-turned,East,null,null
0074,EN0074,2,In-turned,South east,Elaborate entance.,null
0074,EN0074,2,Out-turned,South east,null,null
0075,EN0075,1,Passage-way/Corridor,West,The W entrance has a long 20m wide inturned corridor flanked by rows of ramparts,null
0075,EN0075,1,In-turned,West,null,null
0075,EN0075,1,Other Forms,West,Flanked by rows of ramparts and eleven pits/depressions on either side adding to monumentality.,null
0075,EN0075,2,Passage-way/Corridor,East,The long E entrance inturned passageway has flanking ramparts on the S side.,null
0075,EN0075,2,In-turned,East,null,null
0076,EN0076,1,In-turned,North east,Narrow passageway 2.5m wide inturned entrance at the NE corner.,Narrow passageway 2.5 m wide inturned entrance at the NE corner.
0076,EN0076,1,Passage-way/Corridor,North east,Narrow passage.,null
0077,EN0077,1,Simple Gap,South west,"The main entrance is to the SW, with a causeway flanked on either side by ditches which connect with the concentric ditches of the enclosure.","The main entrance is to the SW, with a causeway c. 12 in width flanked on either side by ditches which connect with the concentric ditches of the enclosure. Geophysics"
0077,EN0077,2,Simple Gap,North east,Possible NE entrance as a buried feature. Simple gap as default.,Shown as a cropmark only and form not determined.
0078,EN0078,1,In-turned,South west,"Both rampart and ditch terminate at the original SW entrance, with gap 3.5m wide and marked by the inturning for 10m of the inner rampart scarp to form passageway.",Inturned with passageway into interior.
0078,EN0078,1,Passage-way/Corridor,South west,null,null
0082,EN0082,1,Simple Gap,East,Possible only.,null
0083,EN0083,1,In-turned,North west,Deeply inturned NW entrance 24m long and 3m wide.,null
0083,EN0083,1,Recesses/Guard Chambers,North west,Guard chambers at inner end.,null
0083,EN0083,1,Passage-way/Corridor,North west,Long passageway.,null
0083,EN0083,2,In-turned,South east,Mutilated inturned entrance.,null
0083,EN0083,3,Simple Gap,North,Possible entrance at 5m gap.,null
0084,EN0084,1,In-turned,East,Much mutilated entrance from gravel digging in the 19th. century to large enclosure,null
0084,EN0084,2,Simple Gap,South west,Traces of a mutilated entrance to smaller enclosure - possibly simple gap.,null
0084,EN0084,3,Simple Gap,North,Traces of a mutilated entrance to smaller enclosure- possibly simple gap.,null
0085,EN0085,1,Simple Gap,West,The main entrance was probably on the W/SW and has been destroyed by development. Simple gap default.,null
0085,EN0085,2,In-turned,East,Entrance at the E corner with an inturn on the S side,null
0086,EN0086,1,Out-turned,East,Out-turned on the S side.,null
0086,EN0086,2,Simple Gap,South west,Simple entrance but damaged.,null
0087,EN0087,1,Simple Gap,North,The original entrance was probably at the N end between the bank and the natural slope.,null
0088,EN0088,1,Simple Gap,South west,Causeway across the cross-bank and ditch.,null
0089,EN0089,1,Simple Gap,South,Possible form and location of entrance only.,null
0090,EN0090,1,In-turned,North east,Inner enclosure entrance at the NE (Heaven Gate) with two rectangular guard chambers.,Outer enclosure (Hells' Gate)
0090,EN0090,1,Recesses/Guard Chambers,North east,Rectangular guard chambers.,null
0090,EN0090,2,In-turned,South west,Inner enclosure entrance at SW with two rectangular guard chambers.,Outer enclosure
0090,EN0090,2,Recesses/Guard Chambers,South west,Rectangular guard chambers.,null
0090,EN0090,3,In-turned,North east,Strong inturned entrance on the NE (Hell Gate) of the outer enclosure with guard chambers.,Inner enclosure (Heaven's Gate)
0090,EN0090,3,Recesses/Guard Chambers,North east,null,null
0090,EN0090,4,In-turned,South west,Only remnants of the SW entrance survive.,Inner enclosure
0091,EN0091,1,In-turned,North,"Alleged entrance to the N 4m wide with a slight inturn,",Alleged original entrance at the northern apex.
0091,EN0091,2,In-turned,South east,SE excavated entrance now lost in form due to road and access to radar station. Formerly inturned with evidence of guard chambers.,South-east excavated entrance now lost in form due to road and access to radar station. Former guard chambers.
0091,EN0091,2,Recesses/Guard Chambers,South east,Former evidence of guard chambers.,null
0092,EN0092,1,Simple Gap,South east,8m causeway through the inner rampart corner.,null
0092,EN0092,2,Simple Gap,North east,Flat topped causeway.,null
0093,EN0093,1,In-turned,East,"There is an inturned entrance on the E with a pronounced holloway leading S 90m long and 8m in width and 1.5 m deep to the E, and turns W before petering out, but could have continued for another 70m to the SW.",null
0093,EN0093,1,Hollow Way,East,Pronounced hollow way.,null
0094,EN0094,1,Simple Gap,North east,Possibly elaborate to the NE where the banks are themselves more elaborate and the slope less steep. Simple gap default.,Form of entrance not determined.
0095,EN0095,1,In-turned,West,"Simple entrance, but slightly inturned mid-way along the western side, approached by sunken tracks. Excavated evidence suggests more than one phase of construction with a timber palisade subsequently strengthened by a flint wall.",Slightly incurved opening of c. 14m with traces of a holloway leading downhill. Excavations in 1960 showed that the entrance had been redesigned and narrowed through the construction of a flint wall. There is also an outwork along this side
0095,EN0095,2,Outworks,North,"Possibly additional outworks, now carries a modern road",Simple gap which now carries a minor road. Considered by Wood (1959) to be original as it runs parallels to a holloway with associated 'defensive' earthworks
0095,EN0095,3,Simple Gap,North east,Leads to springs and possibly original,Possible minor entrance leading to nearby springs
0096,EN0096,1,Simple Gap,North,null,Considered to be original
0097,EN0097,1,In-turned,North west,null,Possible 'Barbican' outwork. Holloway runs from this entrance crossing two outworks. A length of ditch outside the entrance resembles a cross ridge dyke
0097,EN0097,2,Simple Gap,South east,null,Possible entrance - simple off-set gap and earthworks are wider either side
0099,EN0099,1,In-turned,North east,Overgrown and mutilated.,null
0100,EN0100,1,Simple Gap,South east,null,null
0100,EN0100,2,Simple Gap,South west,null,null
0101,EN0101,1,Simple Gap,North,null,Causeway across the ditch allows access to interior
0102,EN0102,1,Uncertain,North,null,Possibly a later feature
0102,EN0102,2,Uncertain,South,null,Entrance is believed to survive as a buried feature.
0102,EN0102,3,Uncertain,North east,null,Extant
0104,EN0104,1,Out-turned,North east,null,null
0105,EN0105,1,Simple Gap,West,null,null
0106,EN0106,1,Simple Gap,West,null,null
0106,EN0106,2,Simple Gap,South,null,null
0107,EN0107,1,Simple Gap,South west,null,null
0109,EN0109,1,Simple Gap,East,null,null
0110,EN0110,1,Simple Gap,West,null,null
0112,EN0112,1,Simple Gap,North,null,null
0112,EN0112,2,Simple Gap,South,null,null
0113,EN0113,1,Simple Gap,East,null,null
0115,EN0115,1,Simple Gap,North,null,null
0116,EN0116,1,Simple Gap,North west,None,null
0117,EN0117,1,Simple Gap,South east,None,seen as cropmarks
0117,EN0117,2,Simple Gap,South east,None,null
0118,EN0118,1,Simple Gap,South east,null,null
0120,EN0120,1,Simple Gap,South west,null,null
0121,EN0121,1,Out-turned,East,null,Slightly
0122,SC0122,1,Simple Gap,North east,null,null
0123,SC0123,1,Simple Gap,North east,null,null
0124,SC0124,1,Other Forms,North,null,Natural cleft in flank of promontory
0125,EN0125,1,Simple Gap,North east,None,null
0127,SC0127,1,Simple Gap,East,null,null
0128,SC0128,1,Simple Gap,North east,null,null
0129,SC0129,1,Simple Gap,South east,null,null
0130,SC0130,1,Simple Gap,North east,null,null
0131,SC0131,1,Simple Gap,East,null,null
0132,SC0132,1,Simple Gap,East,null,null
0133,SC0133,1,Simple Gap,South east,null,null
0134,EN0134,1,Simple Gap,North east,"Simple gap, 5m wide on aerial photograph",5m wide on aerial photograph
0134,EN0134,2,Simple Gap,South east,"Verified by excavation, simple gap, 6.5m wide","Verified by excavation, simple gap, 6.5m wide"
0135,EN0135,1,In-turned,East,null,Probably but poorly preserved
0136,EN0136,1,Outworks,South,null,null
0136,EN0136,1,Oblique,South,null,null
0137,EN0137,1,Simple Gap,North east,"Simple gap, not excavated",Undated but could be original into the small enclosure
0137,EN0137,2,Simple Gap,North west,"Simple gap, excavated, Iron Age","Iron Age, from the small enclosure into the annex"
0138,EN0138,1,Passage-way/Corridor,South west,"verified entrance, at SW, oblique passageway",Oblique passage way/corridor
0139,EN0139,1,Simple Gap,East,"Suggested at head of dry valley, no evidence",Unknown but supposed from position of dry valley
0140,EN0140,1,Passage-way/Corridor,West,Corridor entrance at W excavated,null
0141,EN0141,1,Simple Gap,North west,"simple, approached by hollow way",null
0141,EN0141,1,Hollow Way,North west,null,null
0141,EN0141,2,Out-turned,South west,"possibly out-turned, approached by hollow way",null
0141,EN0141,2,Hollow Way,South west,null,null
0142,EN0142,1,Outworks,South west,simple gap with possible outwork,null
