Main_Atlas_Number,Main_Display_Name,Main_X,Main_Y,Location_X,Location_Y,Location_Longitude,Location_Latitude,Density,Density_trans,Location_Current_County,Location_Historic_County,Location_Current_Parish
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)",350350,233050,-303295,6798973,-2.72454821018933,51.9936282551893,1.632858718279966e-12,-1.999997444332793,Herefordshire,Herefordshire,Aconbury
2,"Bach Camp, Herefordshire",354700,260200,-296646,6843289,-2.66481892241934,52.2380821031319,1.5401719213070633e-12,-1.9999975179267366,Herefordshire,Herefordshire,Kimbolton
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)",358700,238900,-289837,6808611,-2.60365082821158,52.0469070551219,1.547728600458994e-12,-1.9999975118451814,Herefordshire,Herefordshire,Dormington
4,"Brandon Camp, Herefordshire",340000,272400,-320850,6862993,-2.88224216095126,52.3463438788693,1.670548018493187e-12,-1.9999974150063686,Herefordshire,Herefordshire,Adforton
5,"British Camp, Herefordshire (Herefordshire Beacon)",376000,240000,-261765,6810587,-2.35147180098148,52.0578189151605,1.3699808698777088e-12,-1.999997659076362,Herefordshire,Herefordshire,Colwall
6,"Broad Oak, Garway, Herefordshire",343670,224476,-313968,6784935,-2.82042031420224,51.9159091887587,1.6820997302514655e-12,-1.9999974060842494,Herefordshire,Herefordshire,Garway
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",359300,232900,-288784,6798862,-2.59418716203334,51.9930093560673,1.5506836337807265e-12,-1.9999975094710332,Herefordshire,Herefordshire,Brockhampton (Ross on Wye)
8,"Chase Wood Camp, Herefordshire",360214,222396,-287166,6781819,-2.57965755460813,51.898639522983,1.5511505667770424e-12,-1.9999975090960944,Herefordshire,Herefordshire,Ross Rural
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",357740,235213,-291344,6802601,-2.6171918621245,52.0136872450457,1.5626524127628096e-12,-1.9999974998780727,Herefordshire,Herefordshire,Fownhope
10,"Coxall Knoll Camp, Herefordshire",336600,273400,-326426,6864561,-2.93233666785443,52.35494986823,1.702188143129015e-12,-1.9999973906413484,Herefordshire,Herefordshire,Buckton and Coxall
11,"Credenhill Camp, Herefordshire",345100,244600,-312013,6817677,-2.8028622748502,52.0969668132477,1.6754178135612779e-12,-1.999997411241368,Herefordshire,Herefordshire,Credenhill
12,"Croft Ambrey, Herefordshire",344400,266800,-313557,6853909,-2.81672968107888,52.2964674127665,1.6404074593983464e-12,-1.9999974384321524,Herefordshire,Herefordshire,Aymestry
13,"Dinedor Camp, Herefordshire (Oyster Hill)",352360,236350,-300088,6804371,-2.69573603204205,52.0234723531494,1.612818277397497e-12,-1.9999974600643493,Herefordshire,Herefordshire,Dinedor
14,"Dinmore Hill, Herefordshire",352000,251900,-300916,6829695,-2.70317672094653,52.1632367027665,1.593660566050535e-12,-1.9999974751946086,Herefordshire,Herefordshire,Hope under Dinmore
15,"Dorstone Hill, Herefordshire",332710,242160,-332091,6813456,-2.98322408531953,52.0736623190488,1.7788728360732848e-12,-1.999997332512166,Herefordshire,Herefordshire,Dorstone
16,"Downton Camp, Herefordshire",342880,273100,-316157,6864196,-2.84008779906405,52.3529445168303,1.6362995970204477e-12,-1.999997441641466,Herefordshire,Herefordshire,Downton
17,"Eaton Camp, Herefordshire",345400,239300,-311431,6809054,-2.79763374572334,52.0493501118996,1.6755135249213431e-12,-1.9999974111674252,Herefordshire,Herefordshire,Eaton Bishop
18,"Gaer Cop, Herefordshire",353626,225204,-297866,6786282,-2.67577743463769,51.9233740458899,1.6052862573517557e-12,-1.9999974660021647,Herefordshire,Herefordshire,Hentland
19,"Garmsley Camp, Worcestershire (The Wrathes)",362042,261835,-284699,6846062,-2.55749073923361,52.2533374087338,1.4444680804402038e-12,-1.9999975962794834,Worcestershire,Herefordshire,Stoke Bliss
20,"Haffield Camp, Herefordshire",372320,233940,-267685,6800697,-2.40465195980016,52.0031635470999,1.4245186309214923e-12,-1.9999976129360035,Herefordshire,Herefordshire,Donnington
21,"Ivington Camp, Herefordshire",348446,254689,-306747,6834188,-2.75555520164609,52.1879882020054,1.6266484851088205e-12,-1.9999974491973929,Herefordshire,Herefordshire,Leominster
22,"Little Doward, Herefordshire",353900,216000,-297285,6771364,-2.6705609941396,51.8406488059884,1.5984360717138353e-12,-1.999997471414568,Herefordshire,Herefordshire,Ganarew
23,"Mere Hill, Herefordshire (Mere Hill Wood)",340650,265550,-319653,6851793,-2.87149090084873,52.2848376609406,1.6846781582021745e-12,-1.9999974040969524,Herefordshire,Herefordshire,Aymestry
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",376100,237400,-261582,6806356,-2.34983074155244,52.0344475882584,1.3779616359712667e-12,-1.999997652267787,Herefordshire,Herefordshire,Eastnor
25,"Oldbury, Much Marcle, Herefordshire",363206,232563,-282447,6798363,-2.53726600604489,51.9902527802592,1.514214798617046e-12,-1.9999975389312903,Herefordshire,Herefordshire,Much Marcle
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)",322830,248550,-348296,6823631,-3.1287995625744,52.1298114591765,1.8436371899541132e-12,-1.9999972843879585,Herefordshire,Herefordshire,Brilley
27,"Penapark, Herefordshire (Pen y Park)",338332,225716,-322631,6786845,-2.89824366695265,51.9264901832259,1.7208718268064152e-12,-1.9999973763599128,Herefordshire,Herefordshire,Peterchurch
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)",335900,237650,-326816,6806185,-2.93583965099981,52.0334982617918,1.7528515141599528e-12,-1.9999973520940242,Herefordshire,Herefordshire,Vowchurch
29,"Pyon Wood, Herefordshire",342300,266400,-316977,6853215,-2.84745099480056,52.2926547031512,1.6647750406263886e-12,-1.9999974194767658,Herefordshire,Herefordshire,Aymestrey
30,"Risbury Camp, Herefordshire",354200,255300,-297387,6835278,-2.67147592196827,52.1939899860853,1.5605434967526797e-12,-1.9999975015656928,Herefordshire,Herefordshire,Humber
31,"Sutton Walls, Herefordshire",352520,246358,-299984,6820666,-2.69479940271272,52.1134591627816,1.5988396554892252e-12,-1.9999974710953712,Herefordshire,Herefordshire,Sutton
32,"Timberline, Herefordshire (Timberline Camp)",338770,236807,-322143,6804872,-2.89385690955267,52.0262447418022,1.7306595605724987e-12,-1.9999973689093056,Herefordshire,Herefordshire,Madley
33,"Uphampton Camp, Herefordshire",357003,258305,-292865,6840226,-2.63085386137694,52.2212311971752,1.5186629115709067e-12,-1.9999975353191592,Herefordshire,Herefordshire,Docklow and Hampton Wafer
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)",369074,238213,-272991,6807616,-2.45232375889108,52.0414083181544,1.444471717229983e-12,-1.9999975962764576,Herefordshire,Herefordshire,Ledbury
35,"Wall Hills, Thornbury, Herefordshire",362997,259784,-283116,6842722,-2.54327611528302,52.2349639408043,1.44077450608624e-12,-1.999997599354665,Herefordshire,Herefordshire,Thornbury
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)",334889,225082,-328191,6785745,-2.94818698200361,51.9203980022229,1.7414195650382193e-12,-1.9999973607428583,Herefordshire,Herefordshire,Walterstone
37,"Wapley Camp, Herefordshire",334500,262400,-329620,6846514,-2.96102278811282,52.2558220298795,1.7512867833598664e-12,-1.9999973532761508,Herefordshire,Herefordshire,Staunton on Arrow
38,"Westington Camp, Herefordshire",358000,256650,-291218,6837537,-2.61605409461321,52.2064297960985,1.5120975936284006e-12,-1.9999975406524495,Herefordshire,Herefordshire,Grendon Bishop
39,"Abdon Burf, Shropshire",359505,286605,-289169,6886624,-2.59765120321114,52.4758342601982,1.3574385034657235e-12,-1.9999976698167423,Shropshire,Shropshire,Abdon
40,"Billings Ring, Shropshire",336990,287940,-326094,6888426,-2.92935531663161,52.4856957641752,1.634787816009244e-12,-1.9999974428235758,Shropshire,Shropshire,Lydbury North
41,"Blodwell Rock, Shropshire",326668,322932,-343879,6945890,-3.0891196811042,52.7989223120273,1.4626479976042928e-12,-1.9999975812002997,Shropshire,Shropshire,Llanyblodwell
42,"Knuck Wood, Shropshire (Birches Bank)",327605,286738,-341448,6886239,-3.06727737763451,52.4737253227936,1.726573105109284e-12,-1.9999973720174238,Shropshire,Shropshire,Mainstone
43,"Bodbury Ring, Shropshire",344503,294794,-313907,6899847,-2.8198745373615,52.5481247682507,1.5088391729586315e-12,-1.9999975433037038,Shropshire,Shropshire,Church Stretton
44,"Bulthy Hill, Shropshire",331359,313704,-335920,6930747,-3.0176195031634,52.7165963719676,1.5105605850956688e-12,-1.9999975419026992,Shropshire,Shropshire,Wollaston
45,"Burf Castle, Shropshire",376282,290862,-261707,6893802,-2.35095341916362,52.5150943941966,1.1058527371120595e-12,-1.9999978968093408,Shropshire,Shropshire,Claverley
46,"Burrow Hill Camp, Shropshire (Burrow Hill)",338204,283072,-324004,6880457,-2.91057647130002,52.4420762242695,1.6462899463415215e-12,-1.9999974338433826,Shropshire,Shropshire,Hopesay
47,"Bury Ditches, Shropshire",332743,283738,-332961,6881432,-2.99104006609524,52.4474170157594,1.697615540447009e-12,-1.9999973941484765,Shropshire,Shropshire,Lydbury North
48,"Bury Walls, Shropshire",357689,327559,-292732,6954166,-2.62965472366038,52.8438452258377,1.0891531969625844e-12,-1.999997912749946,Shropshire,Shropshire,Weston-under-Redcastle
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)",331014,275798,-335610,6868368,-3.0148362115961,52.3758297889542,1.7454472673697593e-12,-1.9999973576924726,Shropshire,Shropshire,Clun
50,"Caer Caradoc, Church Stretton, Shropshire",347728,295280,-308622,6900705,-2.77239596768484,52.5528133192448,1.464900031115022e-12,-1.9999975793389075,Shropshire,Shropshire,Church Stretton
51,"Caerbre, Shropshire (Chirbury)",327477,296437,-341893,6902184,-3.07127997858807,52.5608879382222,1.6722707811643383e-12,-1.999997413673817,Shropshire,Shropshire,Chirbury with Brompton
52,"Caer-Din Ring, Shropshire (Caer Din Ring)",324072,285048,-347194,6883375,-3.11889626898094,52.4580542222406,1.7598724303865832e-12,-1.9999973467963286,Shropshire,Shropshire,Clun
53,"Calcot Camp, Shropshire",327415,295956,-341983,6901390,-3.07208900312957,52.5565562167761,1.6758050294086158e-12,-1.9999974109422336,Shropshire,Shropshire,Chirbury with Brompton
54,"Callow Hill Camp, Shropshire",338443,304828,-324062,6916255,-2.91110065713292,52.6376661808484,1.5115828915978265e-12,-1.999997541071053,Shropshire,Shropshire,Minsterley
55,"Castle Idris, Shropshire (Garn Bank)",324024,282426,-347206,6879069,-3.11900512233549,52.4344797468434,1.77207820584463e-12,-1.999997337611444,Shropshire,Shropshire,Clun
