Main_Atlas_Number,Main_Display_Name
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)"
2,"Bach Camp, Herefordshire"
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)"
4,"Brandon Camp, Herefordshire"
5,"British Camp, Herefordshire (Herefordshire Beacon)"
6,"Broad Oak, Garway, Herefordshire"
7,"Capler Camp, Herefordshire (Woldbury; Wobury)"
8,"Chase Wood Camp, Herefordshire"
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)"
10,"Coxall Knoll Camp, Herefordshire"
11,"Credenhill Camp, Herefordshire"
12,"Croft Ambrey, Herefordshire"
13,"Dinedor Camp, Herefordshire (Oyster Hill)"
14,"Dinmore Hill, Herefordshire"
15,"Dorstone Hill, Herefordshire"
16,"Downton Camp, Herefordshire"
17,"Eaton Camp, Herefordshire"
18,"Gaer Cop, Herefordshire"
19,"Garmsley Camp, Worcestershire (The Wrathes)"
20,"Haffield Camp, Herefordshire"
21,"Ivington Camp, Herefordshire"
22,"Little Doward, Herefordshire"
23,"Mere Hill, Herefordshire (Mere Hill Wood)"
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)"
25,"Oldbury, Much Marcle, Herefordshire"
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)"
27,"Penapark, Herefordshire (Pen y Park)"
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)"
29,"Pyon Wood, Herefordshire"
30,"Risbury Camp, Herefordshire"
31,"Sutton Walls, Herefordshire"
32,"Timberline, Herefordshire (Timberline Camp)"
33,"Uphampton Camp, Herefordshire"
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)"
35,"Wall Hills, Thornbury, Herefordshire"
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)"
37,"Wapley Camp, Herefordshire"
38,"Westington Camp, Herefordshire"
39,"Abdon Burf, Shropshire"
40,"Billings Ring, Shropshire"
41,"Blodwell Rock, Shropshire"
42,"Knuck Wood, Shropshire (Birches Bank)"
43,"Bodbury Ring, Shropshire"
44,"Bulthy Hill, Shropshire"
45,"Burf Castle, Shropshire"
46,"Burrow Hill Camp, Shropshire (Burrow Hill)"
47,"Bury Ditches, Shropshire"
48,"Bury Walls, Shropshire"
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)"
50,"Caer Caradoc, Church Stretton, Shropshire"
51,"Caerbre, Shropshire (Chirbury)"
52,"Caer-Din Ring, Shropshire (Caer Din Ring)"
53,"Calcot Camp, Shropshire"
54,"Callow Hill Camp, Shropshire"
55,"Castle Idris, Shropshire (Garn Bank)"
56,"Castle Ring, Gorsty Bank, Shropshire (Gorsty Bank)"
57,"Castle Ring, Horderley, Shropshire"
58,"Castle Hill, Oak Hill, Shropshire (Oak Hill)"
59,"Castle Ring, Stitt Hill, Shropshire"
60,"Caus Castle, Shropshire"
61,"Caynham Camp, Shropshire"
62,"Chesterton Walls, Shropshire"
63,"Clee Burf, Shropshire"
64,"Coed y Gaer, Oswestry, Shropshire"
65,"Colstey Bank, Shropshire"
66,"Earl's Hill, Shropshire (Earl's Hill Camp)"
67,"Ebury Hill, Shropshire (Ebury)"
68,"Fron Camp, Shropshire (The Vron)"
69,"Haughmond Hill Camp, Shropshire (Haughmond Castle; Castle Earthwork)"
70,"Knowle, Shropshire"
71,"Llanymynech Hill, Powys"
73,"Nordy Bank, Shropshire"
74,"Norton Camp, Shropshire"
75,"Old Oswestry, Shropshire"
76,"Nesscliffe Hill Camp, Shropshire (Oliver's Point)"
77,"Pave Lane, Shropshire"
78,"Pontesford Hill Camp, Shropshire (Pontesbury)"
79,"Radnor Wood, Shropshire"
80,"Ratlinghope Hill Camp, Shropshire (Ratlinghope Hill; Stitt Hill)"
81,"Robury Ring, Shropshire"
82,"Roveries House, Shropshire (The Roveries (Lower))"
83,"Roveries Hill Camp, Shropshire (The Roveries (Upper))"
84,"The Berth, Shropshire"
85,"The Burgs, Shropshire (The Buries; Bayston Hill)"
86,"The Ditches, Mogg Forest, Shropshire (Larden Ditches; Mogg Ditches; The Rings; Wynbury Castle; Larden Castle)"
87,"Upper Knuck Camp, Shropshire (The Knuck)"
88,"The Lawley (North End), Shropshire (The Lawley (Lower))"
89,"The Lawley (Summit), Shropshire (The Lawley (Upper))"
90,"The Wrekin, Shropshire"
91,"Titterstone Clee, Shropshire"
92,"Wall Camp, Kynnersley, Shropshire (The Wall; Kinnersley Wall)"
93,"Walton Camp, Shropshire"
94,"Wart Hill, Shropshire"
95,"Grimsbury Castle, West Berkshire (Grimsbury Camp)"
96,"Bussock Camp, West Berkshire (Bussock Wood Camp)"
97,"Walbury Camp, West Berkshire"
98,"Ramsbury, West Berkshire (Ramsbury Corner)"
99,"Membury Camp, Wiltshire (Membury Fort)"
100,"Eston Nab, North Yorkshire"
101,"Perborough Castle, West Berkshire (Compton Castle)"
102,"Caesar's Camp, Bracknell Forest"
103,"Allen Knott, Cumbria"
104,"Barrock Fell, Cumbria (Barrock Tell)"
