Atlas_Number,Investigations_Display_Name,Investigations_Date,Investigations_Type,Investigations_Comments,Investigations_Date_From,Investigations_Date_To
0001,EN0001,1888,1st Identified Map Depiction,Ordnance Survey,1888,1888
0001,EN0001,1951,Other,Surface collection of sherds by Kenyon,1951,1951
0001,EN0001,2012,Other,Herefordshire Council survey.,2012,2012
0001,EN0001,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica.,1665,1693
0002,EN0002,1888,1st Identified Map Depiction,OS map,1888,1888
0002,EN0002,2012,Other,Herefordshire Council survey 2012.,2012,2012
0002,EN0002,2002-2006,Other,Herefordshire Aerial Archaeological Survey.,2002,2006
0003,EN0003,1888,1st Identified Map Depiction,OS map,1888,1888
0003,EN0003,2012,Other,Herefordshire Council survey,2012,2012
0004,EN0004,1888,1st Identified Map Depiction,OS map,1888,1888
0004,EN0004,2012,Other,Herefordshire Council survey.,2012,2012
0004,EN0004,2015,Other,Management Plan.,2015,2015
0004,EN0004,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica.,1665,1693
0004,EN0004,1981-85,Excavation,Excavation by S.S. Frere,1981,1985
0004,EN0004,2002-2006,Other,Herefordshire Aerial Archaeological Survey.,2002,2006
0005,EN0005,1879,Excavation,Excavation by Hilton Price,1879,1879
0005,EN0005,1879,Other,Plan of the site drawn by Pitt Rivers.,1879,1879
0005,EN0005,1886,1st Identified Map Depiction,OS map.,1886,1886
0005,EN0005,1999,Other,RCHME survey (Bowden 2005).,1999,1999
0005,EN0005,2008,Other,Time Team special.,2008,2008
0005,EN0005,2012,Other,Herefordshire Council survey.,2012,2012
0005,EN0005,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica.,1665,1693
0005,EN0005,1999-2005,Earthwork Survey,EH topographical survey (Bowden).,1999,2005
0006,EN0006,2012,Other,Herefordshire Council survey.,2012,2012
0007,EN0007,1888,1st Identified Map Depiction,OS map,1888,1888
0007,EN0007,1924,Excavation,Excavation by G.H. Jack and A.G.K. Hayter,1924,1924
0007,EN0007,1990,Other,Visited by Woolhope Club.,1990,1990
0007,EN0007,2012,Other,Herefordshire Council survey.,2012,2012
0007,EN0007,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica (1665-1693),1665,1693
0008,EN0008,2012,Other,Herefordshire Council survey,2012,2012
0009,EN0009,1888,1st Identified Map Depiction,OS map.,1888,1888
0009,EN0009,2012,Other,Herefordshire Council survey.,2012,2012
0009,EN0009,Recent,Earthwork Survey,Herefordshire Archaeology topographical survey.,2001,2017
0010,EN0010,1888,1st Identified Map Depiction,OS map,1888,1888
0010,EN0010,1967,Other,Visit by Hillfort Study Group,1967,1967
0010,EN0010,2012,Other,Herefordshire Council survey,2012,2012
0010,EN0010,1665-1693,1st Identified Written Reference,In Aubrey’s Monumenta Britannica.,1665,1693
0011,EN0011,1888,1st Identified Map Depiction,OS map,1888,1888
0011,EN0011,1963,Excavation,Excavation by S. Stanford.,1963,1963
0011,EN0011,2003,Other,Field survey.,2003,2003
0011,EN0011,2012,Other,Herefordshire Council survey.,2012,2012
0011,EN0011,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica.,1665,1693
0011,EN0011,2007-2009,Other,Small excavations.,2007,2009
0011,EN0011,2008?,Earthwork Survey,Herefordshire Archaeology topographical survey.,2008,2008
0011,EN0011,2009-2011,Excavation,Small excavations Cambridge Archaeological Unit.,2009,2011
0012,EN0012,1968,Other,Visit by Hillfort Study Group,1968,1968
0012,EN0012,2012,Other,Herefordshire Council survey.,2012,2012
0012,EN0012,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica.,1665,1693
0012,EN0012,1885-1900,1st Identified Map Depiction,OS map.,1885,1900
0012,EN0012,1960-66,Excavation,Excavations between 1960-66 by the Woolhope Naturalist's Field Club under the direction of S.C. Stanford.,1960,1966
0013,EN0013,1888,1st Identified Map Depiction,OS map,1888,1888
0013,EN0013,1951,Excavation,At rear of rampart and trench to the top of the hill,1951,1951
0013,EN0013,1998,Other,Watching brief east of hillfort.,1998,1998
0013,EN0013,2012,Other,Herefordshire Council survey,2012,2012
0013,EN0013,1665-1693,1st Identified Written Reference,null,1665,1693
0014,EN0014,1888,1st Identified Map Depiction,OS map,1888,1888
0014,EN0014,2009,Excavation,Report forthcoming of excavation detail.,2009,2009
0014,EN0014,2009,Geophysical Survey,"GSB (available on ADS, Oasis report no",2009,2009
0014,EN0014,2012,Other,Herefordshire Council survey.,2012,2012
0015,EN0015,1887,1st Identified Map Depiction,OS map,1887,1887
0015,EN0015,2012,Other,Herefordshire Council survey,2012,2012
0016,EN0016,1888,1st Identified Map Depiction,OS map,1888,1888
0016,EN0016,1972,Other,Field investigations,1972,1972
0016,EN0016,2012,Other,Herefordshire Council survey,2012,2012
0017,EN0017,1887,1st Identified Map Depiction,OS map,1887,1887
0017,EN0017,2011,LiDAR Survey,LiDar survey found ridge and furrow in interior.,2011,2011
0017,EN0017,2012,Other,Herefordshire Council survey.,2012,2012
0017,EN0017,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica.,1665,1693
0017,EN0017,"1985, 2012",Excavation,Small excavation with topographical survey and geophysics 2012..,1985,2012
0018,EN0018,2012,Other,Herefordshire Council survey.,2012,2012
0019,EN0019,1888,1st Identified Map Depiction,OS map,1888,1888
0020,EN0020,1888,1st Identified Map Depiction,OS map,1888,1888
0020,EN0020,2012,Other,Herefordshire Council survey,2012,2012
0021,EN0021,1888,1st Identified Map Depiction,OS map,1888,1888
0021,EN0021,1968,Other,Visit by Hillfort Study Group,1968,1968
0021,EN0021,1996,Other,Salvage recording of service trench.,1996,1996
0021,EN0021,1996,Geophysical Survey,Salvage investigation.,1996,1996
0021,EN0021,2003,Other,2003 Watching Brief found no archaeology.,2003,2003
0021,EN0021,2012,Other,Herefordshire Council survey.,2012,2012
0021,EN0021,1665-1693,1st Identified Written Reference,Aubrey’s Monumenta Britannica.,1665,1693
0022,EN0022,1888,1st Identified Map Depiction,OS map.,1888,1888
0022,EN0022,2009,Earthwork Survey,EH topographical survey.,2009,2009
0022,EN0022,2012,Other,Herefordshire Council survey.,2012,2012
0022,EN0022,"2009, 2011",Excavation,Excavation in earlier enclosure (annexe).,2009,2011
0023,EN0023,2000,Excavation,Excavation by Herefordshire Archaeology.,2000,2000
