References_Atlas_Number,References_Title_Name,References_Source,References_Citation
0001,"EN0001 Aconbury Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0001,"EN0001 Aconbury Camp, Herefordshire",Kenyon 1953,"Kenyon, K.M. 1953. Excavations at Sutton Walls, Herefordshire 1948-51, Archaeol J, 110, 25-6."
0001,"EN0001 Aconbury Camp, Herefordshire",Page 1908,"Page, W. 1908. The Victoria County History of the County of Herefordshire, 1, 201-2, London"
0001,"EN0001 Aconbury Camp, Herefordshire",RCHME 1930,"RCHME 1930. An Inventory of the Historical Monuments in Herefordshire, 1, SW, 13-14, London"
0001,"EN0001 Aconbury Camp, Herefordshire",Stanford 1976,"Stanford, S. C. (ed.) 1976. Guide to Prehistoric and Roman Sites in Herefordshire. Woolhope Naturalists' Field Club Archaeological Research Section, 12-13."
0002,"EN0002 Bach Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0002,"EN0002 Bach Camp, Herefordshire",Page 1908,"Page, W. ed. 1908.The Victoria County History of the County of Herefordshire, 1, 214-15, London"
0002,"EN0002 Bach Camp, Herefordshire",RCHME 1934,"RCHME 1934. An Inventory of the Historical Monuments in Herefordshire, 3, 79, London"
0003,"EN0003 Backbury Camp, Herefordshire",Cooke 1882,"Cooke, W.H. 1882. Collections towards the history and antiquities of the county of Herefordshire in continuation of Duncumb's History; Vol 3 Greytree Hundred. Book in Hereford Library. III."
0003,"EN0003 Backbury Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0003,"EN0003 Backbury Camp, Herefordshire",Page 1908,"Page, W. ed.1908. The Victoria County History of the County of Herefordshire, 1, 209-10, London"
0003,"EN0003 Backbury Camp, Herefordshire",RCHME 1934,"RCHME 1934. An Inventory of the Historical Monuments in Herefordshire, 1, 71-2, London"
0003,"EN0003 Backbury Camp, Herefordshire",Stanford 1976,"Stanford, S. C. (ed.) 1976. Guide to Prehistoric and Roman Sites in Herefordshire. Woolhope Naturalists' Field Club Archaeological Research Section, 17-18."
0004,"EN0004 Brandon Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0004,"EN0004 Brandon Camp, Herefordshire",Frere 1987,"Frere, S.S. 1987. Brandon Camp, Herefordshire, Britannia,18, 49-92."
0004,"EN0004 Brandon Camp, Herefordshire",RCHME 1934,"RCHME 1934. An Inventory of the Historical Monuments in Herefordshire, 3, NW, 3-4, London"
0005,"EN0005 British Camp, Herefordshire",Bowden 2000,"Bowden, M. 2000. British Camp or Herefordshire Beacon, Archaeol Investig Rep AI/4/2000, Swindon"
0005,"EN0005 British Camp, Herefordshire",Bowden 2005,"Bowden, M. 2005. The Malvern Hills, an ancient landscape, 19-22, plan, London"
0005,"EN0005 British Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0005,"EN0005 British Camp, Herefordshire",Hilton Price 1887,"Hilton Price, F.G. 1887. Camps on the Malvern Hills, Trans Woolhope Natur Fld Club, 9, (1877-80), 217-28."
0006,"EN0006 Broad Oak, Garway, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0007,"EN0007 Capler Camp, Herefordshire",Bull 1883,"Bull, H G. 1883. Woldbury, or Caplar Camp.,Trans Woolhope Natur Field Club, 44-49."
0007,"EN0007 Capler Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0007,"EN0007 Capler Camp, Herefordshire",Jack and Haytor 1925,"Jack, G.H. and Haytor, A.G.K. 1925. Excavations at the site of Capler Camp. Trans Woolhope Natur Fld Club, 83-88."
0007,"EN0007 Capler Camp, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 204-5, London"
0008,"EN0008 Chase Wood Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0008,"EN0008 Chase Wood Camp, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 219, London"
0008,"EN0008 Chase Wood Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2 (E), 167, 6, London"
0008,"EN0008 Chase Wood Camp, Herefordshire",Stanford 1976,"Stanford, S. C. (ed.). 1976. Guide to Prehistoric and Roman Sites in Herefordshire. Woolhope Naturalists' Field Club Archaeological Research Section, 24-25."
0009,"EN0009 Cherry Hill Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012"
0009,"EN0009 Cherry Hill Camp, Herefordshire",Page 1908,"Page, W. ed.1908. The Victoria County History of the County of Herefordshire, 1, 212-13, London"
0009,"EN0009 Cherry Hill Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2 (E), 83, 30, London"
0009,"EN0009 Cherry Hill Camp, Herefordshire",Stanford 1976,"Stanford, S. C. (ed.). 1976. Guide to Prehistoric and Roman Sites in Herefordshire, Woolhope Naturalists' Field Club Archaeological Research Section. Page 20."
0010,"EN0010 Coxall Knoll Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0010,"EN0010 Coxall Knoll Camp, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 203, London"
0010,"EN0010 Coxall Knoll Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3 (NW), 27, London"
0011,"EN0011 Credenhill Camp, Herefordshire",Boucher and Eisel 2004,"Boucher, A. and Eisel, J. 2004. Park Wood Credenhill Archaeological Survey, Herefordshire"
0011,"EN0011 Credenhill Camp, Herefordshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0011,"EN0011 Credenhill Camp, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 206-7, London"
0011,"EN0011 Credenhill Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2 (E), 65, 6, London"
0011,"EN0011 Credenhill Camp, Herefordshire",Stanford 1970,"Stanford, S.C. 1970. Credenhill Camp, Herefordshire, an Iron-Age hillfort capital, Archaeol J, CXXVII, 82-129."
0012,"EN0012 Croft Ambrey, Herefordshire",Darvill et al. 2000,"Darvill, T. Stamper, P. and Timby, J. 2000. England an archaeological guide, 202-3, Oxford"
0012,"EN0012 Croft Ambrey, Herefordshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0012,"EN0012 Croft Ambrey, Herefordshire",Field and Smith 2008,"Field, D, Smith, N. 2008. Croft Ambrey, Aymestrey, Herefordshire. Analysis of earthworks, Archaeological Survey Report, Swindon"
0012,"EN0012 Croft Ambrey, Herefordshire",Stanford 1974,"Stanford, S. 1974. Croft Ambrey, Leominster"
0013,"EN0013 Dinedor Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0013,"EN0013 Dinedor Camp, Herefordshire",Dorling and Widdicombe 2008,"Dorling, P. and Widdicombe, R. 2008. A conservation management plan for Dinedor Camp, Herefordshire. Hereford"
0013,"EN0013 Dinedor Camp, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 208-9, London"
0013,"EN0013 Dinedor Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 1(SW), 55, 6, London"
0014,"EN0014 Dinmore Hill, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0014,"EN0014 Dinmore Hill, Herefordshire",Pryor et al. n.d.,"Pryor, F., Dorling, P. and Ray, K. forthcoming. Surveys and excavation on Dinmore Hill, Herefordshire, Herefordshire Archaeology Report."
0015,"EN0015 Dorstone Hill, Herefordshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0016,"EN0016 Downton Camp, Herefordshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0016,"EN0016 Downton Camp, Herefordshire",RCHME 1934,"RCHME 1934. An Inventory of the Historical Monuments in Herefordshire, 3 (NW), London"
0017,"EN0017 Eaton Camp, Herefordshire",Atkinson 2011,"Atkinson, C. 2011. Eaton Camp, Ruckhall, Eaton Bishop CP, Stage 1"
0017,"EN0017 Eaton Camp, Herefordshire",Herefordshire Archaeology n.d.,LiDAR. Herefordshire Archaeology Report 296.
0017,"EN0017 Eaton Camp, Herefordshire",Dorling 1931,"Dorling, P. 2012"
0017,"EN0017 Eaton Camp, Herefordshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0017,"EN0017 Eaton Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 1, 61-2, London"
0018,"EN0018 Gaer Cop, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0018,"EN0018 Gaer Cop, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 1 (SW), 90, 11, London"
0019,"EN0019 Garmsley Camp, Worcestershire",Bowen 1952,"Bowen, A.R. 1952. The hill-forts of Worcestershire and its borders, Trans Worcs Archaeol Soc, 29, 33-37."
0019,"EN0019 Garmsley Camp, Worcestershire",Montgomerie 1924,"Montgomerie, D.H. 1924. Ancient earthworks, Victoria County History, Worcestershire."
0019,"EN0019 Garmsley Camp, Worcestershire",Pevsner 1968,"Pevsner, N. 1968. The Buildings of England"
0019,"EN0019 Garmsley Camp, Worcestershire",Phillips 1893,"Phillips, W. 1893. Garmsley Camp (near Tenbury), Trans Woolhope Natur Fld Club, 1893, 142-43."
0020,"EN0020 Haffield Camp, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0020,"EN0020 Haffield Camp, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 209, London"
0020,"EN0020 Haffield Camp, Herefordshire",RCHME 1932,"RCHME 1932. An Inventory of the Historical Monuments in Herefordshire, 2 (E), 69, 10, London"
0021,"EN0021 Ivington Camp, Herefordshire",Dalwood et al. 1997,"Dalwood, H., Hurst, D. and Pearson, E. 1997. Salvage Recording at Ivington Camp, Leominster"
0021,"EN0021 Ivington Camp, Herefordshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0021,"EN0021 Ivington Camp, Herefordshire",Page 1908,"Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 217, London"
0021,"EN0021 Ivington Camp, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3 (NW), 131-32, 52, London"
0022,"EN0022 Little Doward, Herefordshire",Bowden 2009,"Bowden, M. 2009. Little Doward, Ganarew, Herefordshire. Analytical Earthwork Survey of the Hillfort and Rapid Landscape Investigation. English Heritage Research Department Report Series. 72-2009."
0022,"EN0022 Little Doward, Herefordshire",Clarke and Bray 2009,"Clarke, S. and Bray, J. 2009. Little Doward Camp, Ganarew. A Programme of Archaeological Work for the Woodland Trust, Unpublished report Monmouth Archaeolaeology, MA09.09."
0022,"EN0022 Little Doward, Herefordshire",Dorling and Wigley 1931,"Dorling, P. and Wigley, A. 2012"
0022,"EN0022 Little Doward, Herefordshire",Dorling et al. 1931,"Dorling, P., Cotton, J. and Rimmington, N. 2012"
0022,"EN0022 Little Doward, Herefordshire",Page 1908,"Page, W. ed.1908. The Victoria County History of the County of Herefordshire, 1, 210-11, London"
0022,"EN0022 Little Doward, Herefordshire",RCHME 1931,"RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 1 (SW), 68-9, 2, London"
0022,"EN0022 Little Doward, Herefordshire",Rimmington 2008,"Rimmington, N. 2008. Little Doward Camp, Ganarew Parish, Unpublished report Herefordshire Archaeology Report 229."
0023,"EN0023 Mere Hill, Herefordshire",Dorling and Wigley 2012,"Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury"
0023,"EN0023 Mere Hill, Herefordshire",Ray and Hoverd 2000,"Ray, K. and Hoverd , T. 2000"
0024,"EN0024 Midsummer Hill, Herefordshire",Bowden 2005,"Bowden, M. 2005. The Malvern Hills an ancient landscape, London"
