Main_Atlas_Number,Main_Display_Name,Enclosing_Area_1,Location_X,Location_Y,Main_X,Main_Y
1155,"Penycloddiau, Denbighshire (Pen y Cloddiau)",21,-367969,7019842,312888,367647
643,"Dodman Castle, Cornwall (Dodman Point; The Dod...",21,-534770,6485285,200100,39850
753,"Norbury Camp, Northleach, Gloucestershire",22,-202278,6770873,412700,215500
1997,"Wooltack Point, Pembrokeshire (Deer Park Fort)",22,-584307,6752378,175770,209050
3595,"Hod Hill, Dorset",22,-245476,6602754,385670,110648
757,"Salmonsbury Camp, Gloucestershire",23,-194654,6779602,417400,220900
367,"Woodbury, Great Witley, Worcestershire (Woodbu...",23,-263690,6850593,374939,264523
139,"Bozedown Camp, Oxfordshire (Binditch)",23.5,-119597,6710127,464350,178250
3749,"Cissbury Ring, West Sussex (Cissbury Camp)",24,-42657,6596650,513886,108026
1504,"Roulston Scar, North Yorkshire (Sutton Bank; C...",24.5,-134884,7213231,451490,481520
404,"Ogbury Camp, Wiltshire",26,-200007,6646748,414320,138294
461,"Tedbury Camp, Somerset",26,-263616,6663457,374400,148800
389,"Casterley Camp, Wiltshire (Catterley Banks)",27.5,-204306,6671153,411584,153560
756,"Willersey Camp, Gloucestershire (Willersey Hil...",28,-203808,6807893,411700,238300
427,"Ebsbury Hill, Wiltshire (Grovely Earthworks)",28,-212997,6642126,406160,135380
1276,"y Breiddin, Powys (Breddin Hillfort; The Breid...",28,-338884,6931868,329570,314408
91,"Titterstone Clee, Shropshire",29.6,-289034,6872454,359516,277973
3795,"Butser Hill, Hampshire",30,-109375,6617356,471527,120313
464,"Wadbury Camp, Somerset (Wadbury Hillfort)",30,-265052,6663609,373500,148900
173,"Abingdon, The Vineyard, Oxfordshire",33,-142388,6740992,449950,197250
97,"Walbury Camp, West Berkshire",33,-162994,6684152,437408,161800
3459,"Countisbury Castle, Devon (Shoulsbury; Wind Hill)",35,-423647,6662041,274024,149399
3823,"Homestall Wood, Kent",35,115292,6672762,611760,158930
172,"Dyke Hills, Oxfordshire (Dike Hills)",46,-130542,6735058,457350,193650
760,"Nottingham Hill Camp, Gloucestershire",48.6,-225551,6791821,398300,228400
3774,"Oldbury Camp, Kent",51.5,29679,6671658,558165,156303
773,"Borough Hill 1, Northamptonshire (Borough Hill)",52,-126771,6847138,458877,262696
201,"Mull of Galloway, Dumfries & Galloway",54,-542988,7291829,214381,530735
71,"Llanymynech Hill, Powys",57,-344171,6944572,326479,322138
3594,"Hengistbury Head, Dorset",80,-195572,6571275,417263,90784
448,"Ham Hill, Somerset (Hamdon Hill Camp)",84,-304545,6611780,348409,116570
3582,"Bindon Hill, Dorset",114,-248650,6554366,383568,80077
