Main_Atlas_Number,Main_Display_Name,Location_X,Location_Y,Density,Density_trans,Location_Current_County,Location_Historic_County,Location_Current_Parish
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)",-303295,6798973,1.63285871827997e-12,-3.8024033400668156,Herefordshire,Herefordshire,Aconbury
2,"Bach Camp, Herefordshire",-296646,6843289,1.5401719213070566e-12,-3.8024496792915072,Herefordshire,Herefordshire,Kimbolton
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)",-289837,6808611,1.5477286004589884e-12,-3.802445825479162,Herefordshire,Herefordshire,Dormington
4,"Brandon Camp, Herefordshire",-320850,6862993,1.670548018493182e-12,-3.8023850510826263,Herefordshire,Herefordshire,Adforton
5,"British Camp, Herefordshire (Herefordshire Beacon)",-261765,6810587,1.3699808698777013e-12,-3.8025404184563283,Herefordshire,Herefordshire,Colwall
6,"Broad Oak, Garway, Herefordshire",-313968,6784935,1.6820997302514635e-12,-3.8023795064903942,Herefordshire,Herefordshire,Garway
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",-288784,6798862,1.5506836337807293e-12,-3.802444322221477,Herefordshire,Herefordshire,Brockhampton (Ross on Wye)
8,"Chase Wood Camp, Herefordshire",-287166,6781819,1.5511505667770376e-12,-3.8024440848808285,Herefordshire,Herefordshire,Ross Rural
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",-291344,6802601,1.5626524127628071e-12,-3.802438255085132,Herefordshire,Herefordshire,Fownhope
10,"Coxall Knoll Camp, Herefordshire",-326426,6864561,1.702188143129012e-12,-3.802369930941651,Herefordshire,Herefordshire,Buckton and Coxall
11,"Credenhill Camp, Herefordshire",-312013,6817677,1.6754178135612738e-12,-3.8023827102422825,Herefordshire,Herefordshire,Credenhill
12,"Croft Ambrey, Herefordshire",-313557,6853909,1.6404074593983464e-12,-3.802399652251754,Herefordshire,Herefordshire,Aymestry
13,"Dinedor Camp, Herefordshire (Oyster Hill)",-300088,6804371,1.6128182773974992e-12,-3.8024131918523567,Herefordshire,Herefordshire,Dinedor
14,"Dinmore Hill, Herefordshire",-300916,6829695,1.5936605660505326e-12,-3.8024226944276736,Herefordshire,Herefordshire,Hope under Dinmore
15,"Dorstone Hill, Herefordshire",-332091,6813456,1.7788728360732836e-12,-3.8023341261041486,Herefordshire,Herefordshire,Dorstone
16,"Downton Camp, Herefordshire",-316157,6864196,1.6362995970204473e-12,-3.802401657525889,Herefordshire,Herefordshire,Downton
17,"Eaton Camp, Herefordshire",-311431,6809054,1.675513524921343e-12,-3.8023826642855,Herefordshire,Herefordshire,Eaton Bishop
18,"Gaer Cop, Herefordshire",-297866,6786282,1.6052862573517625e-12,-3.8024169178933094,Herefordshire,Herefordshire,Hentland
19,"Garmsley Camp, Worcestershire (The Wrathes)",-284699,6846062,1.444468080440196e-12,-3.8024997372873184,Worcestershire,Herefordshire,Stoke Bliss
20,"Haffield Camp, Herefordshire",-267685,6800697,1.4245186309214888e-12,-3.802510478104529,Herefordshire,Herefordshire,Donnington
21,"Ivington Camp, Herefordshire",-306747,6834188,1.6266484851088223e-12,-3.802406383410525,Herefordshire,Herefordshire,Leominster
22,"Little Doward, Herefordshire",-297285,6771364,1.598436071713835e-12,-3.802420317843148,Herefordshire,Herefordshire,Ganarew
23,"Mere Hill, Herefordshire (Mere Hill Wood)",-319653,6851793,1.6846781582021727e-12,-3.802378272730458,Herefordshire,Herefordshire,Aymestry
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",-261582,6806356,1.377961635971268e-12,-3.802535982894035,Herefordshire,Herefordshire,Eastnor
