Main_Atlas_Number,Main_Display_Name,Entrances_Breaks,Entrances_Original,Entrances_Breaks_Comments,Entrances_Original_Comments,Entrances_Chevaux_Comments,Entrances_Summary,Related_Entrances,Entrances_Guard_Chambers,Entrances_Chevaux
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)",6.0,2.0,Two original and four modern gaps.,Two original inturned entrances at SE and SW corners. Probably modern entrances to S and N.,NA,"Two original entrances; the SE inturned. The SW is more complex, where the S rampart curves behind the W rampart, which itself extends S, so increasing the nature of the defences of what is possibly the principal entrance. There is a possible external ramp.",In-turned (South east); In-turned (South west); Other Forms (South west),No,No
2,"Bach Camp, Herefordshire",3.0,2.0,N entrance damaged by wagon access and possibly modern.,"S entrance original, that on the NW possibly  original and more complex with dry-stone revetment.",NA,"Entrances difficult to unravel. The S entrance is inturned and slightly offset. That on the NW is more complex, although a simple gap in the inner rampart, it is cut back to form a broad inner traverse with ditch and possible hornwork. There has also been quarrying here. N entrance damaged by wagon access and possibly modern.",In-turned (South); Simple Gap (North west); Hornwork (North west),No,No
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)",2.0,2.0,Entrances intact,Interesting inturn to N entrance,NA,The curving N entrance is complex with inturn and banks. That to the SW is simple cutting through the ramparts with a natural causeway.,In-turned (North); Oblique (North); Simple Gap (South west),No,No
4,"Brandon Camp, Herefordshire",3.0,2.0,Modern gap to the S.,Off-set entrance on the E. Possibly another to the NW.,NA,The gaps to the NE and E have been widened and are possibly original. That to the S is modern.,Simple Gap (East); Simple Gap (North east),No,No
5,"British Camp, Herefordshire (Herefordshire Beacon)",6.0,6.0,Probable modern breaks not recorded.,Two entrances are from Phase I and four from Phase II,NA,"Both Phase I entrances, NE and SW, are out-turned and now within interior of overall enclosure. There are four entrances to Phase II, all with enlarged rampart terminals and slightly overlapping counterscarp terminals. The N and S entrances are contrived to face E and W.",Out-turned (North east); Out-turned (South west); Over-lapping (South); Over-lapping (West); Over-lapping (West); Over-lapping (North),No,No
6,"Broad Oak, Garway, Herefordshire",1.0,1.0,No modern gaps recorded.,Possible E entrance indicated by gaps in cropmark ditches on the ridge crest to the E.,NA,Possible E entrance indicated by gaps in cropmark ditches on the ridge crest to the E.,Simple Gap (East),No,No
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",2.0,1.0,Entrance on the S probably modern.,Entrance on the E protected by a mound/possible bastion.,NA,"There are two entrances, one to the E and another midway on S side, which takes a path from Capler Wood, the latter being possibly modern. E entrance inturned with possible mound or bastion, but not in original condition.",In-turned (East); Other Forms (East),No,No
8,"Chase Wood Camp, Herefordshire",3.0,1.0,Those to the extreme N and middle of the W side may be of later date.,An original entrance on the NE side.,NA,"That to the NE is original, and raking in form cut through the rock. Those to the extreme N and middle of the W side probably of later date.",Oblique (North east),No,No
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",2.0,2.0,No modern gaps determined.,Two interesting entrances probably original.,NA,N entrance defended by slight rampart on E terminating in a mound. The S entrance formed by a sloping causeway. No modern gaps in evidence.,Simple Gap (North); Simple Gap (South),No,No
10,"Coxall Knoll Camp, Herefordshire",4.0,3.0,One of the N entrances (gap) is possibly later.,"W, S and one to the N possibly original.",NA,The principal inturned W entrance is staggered with outworks. Those to the N and S gaps with slight inturns.,In-turned (North); In-turned (South); In-turned (West); Over-lapping (West); Outworks (West),No,No
11,"Credenhill Camp, Herefordshire",3.0,2.0,Break in bank to N modern.,"Two entrances (corner of SE and mid E), with inturns to give long approach passages, possibly with guard chambers.","Two entrances (corner of SE and mid E), with inturns to give long approach passages, possibly with guard chambers.","Two entrances (corner of SE and mid E), with inturns to give long approach passages, possibly with guard chambers. Possible SW entrance destroyed by quarrying.",In-turned (South east); Passage-way/Corridor (South east); Recesses/Guard Chambers (South east); In-turned (East); Passage-way/Corridor (East); Recesses/Guard Chambers (East),Yes,No
12,"Croft Ambrey, Herefordshire",2.0,2.0,Main entrance for public now directed though SW entrance. Suggested postern entrance on the W is probably modern.,In first phase entrances to the E and W. Circa 390 BC new NE gate constructed and added on SW. Hollow way to the NE forms the approach to the fort.,NA,In first phase entrances to the E and W. Circa 390 BC new NE gate constructed and added on SW. Hollow way to the NE forms the approach to the fort with complex series of outworks. The NE entrance flanked by turning of the two inner ramparts and three mounds on the edge of the steep natural scarp. SW gap now main public entrance. Suggested postern entrance on the W is probably modern.,Simple Gap (South west); Hollow Way (North east); In-turned (North east); Outworks (North east),No,No
13,"Dinedor Camp, Herefordshire (Oyster Hill)",1.0,1.0,No modern gaps.,"SE slightly out-turned entrance with traces of a bank or mound outside. Possible Civil War and modern alterations, including hornwork and bastian (not included in analysis).",NA,"SE slightly out-turned entrance, with traces of a bank or mound outside, giving a long passageway. Possible Civil War alterations. No other gaps in evidence.",Out-turned (East); Passage-way/Corridor (East),No,No
14,"Dinmore Hill, Herefordshire",0.0,0.0,No entrances or breaks have been determined,None determined.,NA,"No entrances have yet been determined, but report forthcoming.",NA,No,No
15,"Dorstone Hill, Herefordshire",1.0,1.0,No modern gaps.,Entrance midway along rampart.,NA,Simple gap sited midway along the rampart. No modern gaps.,Simple Gap (South east),No,No
16,"Downton Camp, Herefordshire",1.0,1.0,No modern gaps in evidence.,NA,NA,"Entrance, simple gap at the N, not mutillated as suggested in the HER, but has a causeway across the ditch.",Simple Gap (North),No,No
17,"Eaton Camp, Herefordshire",3.0,1.0,Indeterminate number modern gaps; possibly two.,Possible original entrance at NW apex.,NA,"The total number of breaks in the rampart is indeterminate at present, but ongoing survey should rectify this. However, the gap located at the NW apex probably original.",Simple Gap (North west),No,No
18,"Gaer Cop, Herefordshire",0.0,0.0,Cannot be determined without site investigation.,Cannot be determined without site investigation.,NA,Nature of any entrance cannot be determined without site investigation because of its virtual destruction.,NA,No,No
19,"Garmsley Camp, Worcestershire (The Wrathes)",4.0,2.0,Additional midway gap on E modern; N possibly modern,"W and E, possibly original, entrances can be seen",NA,"Although there are four gaps through the ramparts, only W (in-turned) and E (simple gap) can be said to be original.",In-turned (West); Simple Gap (East),No,No
20,"Haffield Camp, Herefordshire",2.0,1.0,NE corner entrance possibly later.,W entrance probably original.,NA,"W simple gap entrance original, that on the NE corner possibly later. The path to the site runs through the former.",Simple Gap (West),No,No
21,"Ivington Camp, Herefordshire",5.0,2.0,"W and E are modern, that E probably not original",SE entrance very elaborate; NE inturned,NA,"The SE entrance is very elaborate and overlapping, that to the NE an interesting inturned passageway.",Over-lapping (South east); In-turned (North east); Passage-way/Corridor (North east),No,No
22,"Little Doward, Herefordshire",3.0,3.0,No modern gaps recorded.,Possible original SE entrance destroyed.,NA,"Three possible entrances, one destroyed on SE. Entrance on NE access up a natural slope, and that on SW is narrow rock-cut gap.",Simple Gap (North east); Simple Gap (South west); Simple Gap (South east),No,No
23,"Mere Hill, Herefordshire (Mere Hill Wood)",1.0,1.0,No modern gaps.,Possible entrance on the SW side.,NA,Possible entrance on the SW. No detail recorded.,Simple Gap (South west),No,No
