Main_Atlas_Number,Main_Display_Name,Landscape_Altitude,Landscape_Type_Comments,Landscape_Topography_Comments,Landscape_Topography_Dominant,Landscape_Type_Contour,Landscape_Type_Partial,Landscape_Type_Promontory,Landscape_Type_Hillslope,Landscape_Type_Level,Landscape_Type_Marsh,Landscape_Type_Multiple,Landscape_Topography_Hilltop,Landscape_Topography_Coastal,Landscape_Topography_Inland,Landscape_Topography_Valley,Landscape_Topography_Knoll,Landscape_Topography_Ridge,Landscape_Topography_Scarp,Landscape_Topography_Hillslope,Landscape_Topography_Lowland,Landscape_Topography_Spur,Landscape_Aspect_N,Landscape_Aspect_NE,Landscape_Aspect_E,Landscape_Aspect_SE,Landscape_Aspect_S,Landscape_Aspect_SW,Landscape_Aspect_W,Landscape_Aspect_NW,Landscape_Aspect_Level
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)",276.0,"Partial contour fort following the natural contours and which also appears to cut off a promontory, but sloping to the W. Located above the River Wye and Hereford to the E and the valley of the Worm Brook to the W, on the interfluve between the Rivers Wye and Severn catchments. Precipitous slopes to the W and N.",,"Hill top, part promontory.",No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
2,"Bach Camp, Herefordshire",150.0,"Univallate, contour hillfort located on summit of rounded hill at watershed of Whyle Brook and tributary and overlooking confluence, with River Lugg valley to W. Steep surrounding slopes.",,Hill top spur.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)",225.0,"Located part on slopes, part level ground. Sited on top slopes of a prominent hill above important confluences of the Rivers Wye and Lugg and Frome and Lugg",,Hilltop including the Adam's Rocks outcrop,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes
4,"Brandon Camp, Herefordshire",150.0,"The site is located on NW slopes just below the summit of a hill and, although it could be called a partial contour site, it is better referred to as a hillslope fort. Sited on a NW slope below the summit of a flat-topped steep hill pointing towards the confluence of the Rivers Teme, Clun and Leintwardine Fishery",,Flat-topped steep hill.,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
5,"British Camp, Herefordshire (Herefordshire Beacon)",338.0,"One of the finest examples of a contour fort in the country. Located on the high ridge of the Malvern Hills above the River Severn valley on the E and River Leadon on the W. Its snaking ramparts encompass the Herefordshire Beacon itself and the S summit, called Millennium Hill.",,Malvern Hill crest.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
6,"Broad Oak, Garway, Herefordshire",140.0,"The site is a cropmark but appears to cut off the promontory. Sited on a broad promontory overlooking the Monnow valley with steep slopes to the W, less so to the N and S. Highest point of the knoll or promontory is to the E which overlooks the hillfort.",,Knoll or promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",182.0,The ramparts generally follow the contours at the top of a prominent spur. Sited on a steeply sloping spur directly overlooking and dominating a bend of the the River Wye. Slight slope to the S.,,Prominent spur,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
8,"Chase Wood Camp, Herefordshire",203.0,"Partial contour hillfort, the site including the summit of the hill, but slopes to SW. Located within Chase Wood on a prominent hill above Ross-on-Wye with steep surrounding slopes apart from on S side.",,Prominent hill location.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",140.0,Contour hillfort on spur summit. Overlooks the River Wye on a prominent spur near its confluence with the River Lugg.,,Prominent spur,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
10,"Coxall Knoll Camp, Herefordshire",243.0,"Complex contour fort on prominent hill. Sited above steep slopes on prominent hill top, now tree covered, above the River Teme and its confluence with the River Clun and Leintwardine Fishery.",,Prominent Coxall Knoll hill top.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
