Main_Atlas_Number,Main_Display_Name,Management_Condition_Comments,Management_Land_Use_Comments,Management_Condition_Extant,Management_Condition_Cropmark,Management_Condition_Destroyed,Management_Land_Use_Woodland,Management_Land_Use_Plantation,Management_Land_Use_Parkland,Management_Land_Use_Pasture,Management_Land_Use_Arable,Management_Land_Use_Scrub,Management_Land_Use_Moorland,Management_Land_Use_Heath,Management_Land_Use_Urban,Management_Land_Use_Coastal,Management_Land_Use_Other
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)","Main ditch gone on N and W sides. Visitor erosion of paths where cross rampart, with horse and quad bikes. Vegetation re-growth. Some quarrying.","Mixed woodland since 19th century with internal tracks. Bracken, bramble, sapling and coppice re-growth. Some quarrying.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes
2,"Bach Camp, Herefordshire",Natural and animal erosion with sheep scrapes. General improvement as part of management agreements. Public Right of Way and permissive paths. Past tree removal is causing erosion around the stumps. Site now under management agreements.,"Potatoes once grown on the site, but vegetation now managed.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)","Although the circuit continuous in part, the site is generally damaged and tree covered. An ancient landslip seems to have taken the defences on the E and S. An access track runs NE to SW passing through the NW entrance.",A wooded private site with access problems.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
4,"Brandon Camp, Herefordshire","Slumping has occurred around the SE corner. Rabbit problem. However, there has been some general improvement with scrub control measures.",The interior is arable and pasture at present. Wooded ramparts. There is a history of ploughing generally.,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No
5,"British Camp, Herefordshire (Herefordshire Beacon)","Visitor numbers great, but erosion repair has taken place. Scrub especially on the W side could be a problem. Rabbit control measures. Otherwise condition generally good.","Upland pasture, moorland and scrub. Medieval ringwork.",Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
6,"Broad Oak, Garway, Herefordshire",Survives only as a cropmark. Possible further earthworks may exist in woodland to the W.,The site has been ploughed for centuries.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",Some tree planting and recreation effects. Pheasant rearing on site with farm landscaping to E.,Wooded on the W half of the site with pasture on the E half. Mature trees with general rough grazing and some tree planting. Past remains of post-medieval stone cottage.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes
8,"Chase Wood Camp, Herefordshire","Animal disturbance, particularly around the S rampart. Tree clearance has taken place. Two public footpaths close-by. Despite regular ploughing, with probable deterioration of archaeological layers, site generally  stable and little has changed over the past 25 years.","Interior has been regularly ploughed. FC conifer plantation on W ramparts, which are vulnerable.",Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",Wooded with windthrow problems as mature trees growing on the rampart. Public footpath through the middle of the site.,"Oak, ash, cherry and yew trees on site.",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
10,"Coxall Knoll Camp, Herefordshire",Private and damaged site precludes further comment.,Tree covered with conifer plantation and broadleaved woodland.,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
11,"Credenhill Camp, Herefordshire",SW corner totally destroyed by quarrying and extensive linear quarries in the interior. Recreation pressures now being addressed. Animal damage. Many paths.,"Site initially planted with tree in the 1960's. Heavily wooded, but in 2008/2009 whole of N half of the site clear felled. Woodland management by the Woodland Trust continues. Part pasture in the interior. Quarries.",Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
12,"Croft Ambrey, Herefordshire","Good condition, with management by the National Trust. Recreation pressure generally managed despite no full management plan and wind-throw of scattered trees could be a problem. Repair and re-routing of access path through W entrance.",Bracken can be a problem for interpretation during the summer and control carried out.,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
13,"Dinedor Camp, Herefordshire (Oyster Hill)","Wooded with beech wind-throw problems as a result of mature beech trees, some removed in 2007-2008. Generally improving in condition.","Heavily wooded ramparts, but now the subject of a substantial management plan and agreement. Sapling, scrub and brambles managed. Interior part wood part pasture.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
14,"Dinmore Hill, Herefordshire","Little is known about the site, but damaged.",Wooded and improved pasture.,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
