Main_Atlas_Number,Main_Display_Name,Boundary_Boundary_Comments,Boundary_Boundary_Type,Boundary_Current_Parish_2
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)",NA,NA,NA
2,"Bach Camp, Herefordshire",NA,NA,NA
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)",NA,NA,NA
4,"Brandon Camp, Herefordshire",NA,NA,NA
5,"British Camp, Herefordshire (Herefordshire Beacon)",NA,County,Eastnor (Herefordshire); Little Malvern (Worcestershire)
6,"Broad Oak, Garway, Herefordshire",NA,NA,NA
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",NA,NA,NA
8,"Chase Wood Camp, Herefordshire",NA,NA,NA
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",NA,NA,NA
10,"Coxall Knoll Camp, Herefordshire",Part of the site is located in Shropshire and part in Herefordshire.,County,Bucknell
11,"Credenhill Camp, Herefordshire",NA,NA,NA
12,"Croft Ambrey, Herefordshire",NA,NA,NA
13,"Dinedor Camp, Herefordshire (Oyster Hill)",NA,NA,NA
14,"Dinmore Hill, Herefordshire",NA,NA,NA
15,"Dorstone Hill, Herefordshire",NA,NA,NA
16,"Downton Camp, Herefordshire",NA,NA,NA
17,"Eaton Camp, Herefordshire",NA,Parish/Townland,Clehonger; Breinton
18,"Gaer Cop, Herefordshire",NA,NA,NA
19,"Garmsley Camp, Worcestershire (The Wrathes)",NA,NA,NA
20,"Haffield Camp, Herefordshire",NA,NA,NA
21,"Ivington Camp, Herefordshire",NA,NA,NA
22,"Little Doward, Herefordshire",NA,NA,NA
23,"Mere Hill, Herefordshire (Mere Hill Wood)",NA,NA,NA
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",NA,County,Castlemorton
25,"Oldbury, Much Marcle, Herefordshire",NA,NA,NA
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)",NA,NA,NA
27,"Penapark, Herefordshire (Pen y Park)",NA,NA,NA
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)",NA,NA,NA
29,"Pyon Wood, Herefordshire",NA,NA,NA
30,"Risbury Camp, Herefordshire",NA,NA,NA
31,"Sutton Walls, Herefordshire",NA,NA,NA
32,"Timberline, Herefordshire (Timberline Camp)",NA,NA,NA
33,"Uphampton Camp, Herefordshire",NA,NA,NA
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)",NA,NA,NA
35,"Wall Hills, Thornbury, Herefordshire",NA,NA,NA
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)",NA,NA,NA
37,"Wapley Camp, Herefordshire",NA,NA,NA
38,"Westington Camp, Herefordshire",NA,NA,NA
39,"Abdon Burf, Shropshire",NA,NA,NA
40,"Billings Ring, Shropshire",NA,NA,NA
41,"Blodwell Rock, Shropshire",Part in Shropshire and part in Wales (Powys).,National,Carreghofa
42,"Knuck Wood, Shropshire (Birches Bank)",NA,NA,NA
43,"Bodbury Ring, Shropshire",NA,NA,NA
44,"Bulthy Hill, Shropshire",NA,NA,NA
45,"Burf Castle, Shropshire",NA,NA,NA
46,"Burrow Hill Camp, Shropshire (Burrow Hill)",NA,NA,NA
