Main_Atlas_Number,Main_Display_Name,Dating_Date_Comments,Dating_Pre_Comments,Dating_Post_Comments,Dating_Date_Pre_1200BC,Dating_Date_1200BC_800BC,Dating_Date_800BC_400BC,Dating_Date_400BC_AD50,Dating_Date_AD50_AD400,Dating_Date_AD400_AD800,Dating_Date_Post_AD800,Dating_Date_Unknown,Dating_Date_Reliability,Dating_Pre,Dating_Post,Related_Dating_Artefactual,Related_Dating_NA,Related_Dating_Morph_Earth_Typo,Related_Dating_C14,Related_Dating_Other
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)",The finding of Iron Age and Roman pottery suggests late Iron Age to Roman period occupation. Sherds similar to Sutton Walls (Atlas No 0031).,NA,Evidence of Civil War occupation and possible damage.,No,No,Yes,Yes,Yes,No,No,No,C,No,Yes,Yes,No,No,No,No
2,"Bach Camp, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)","The chance finding of a number of cloudy blue flints, two burnt flints and a core from the W rampart does not indicate dating.",None,None,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
4,"Brandon Camp, Herefordshire","Iron Age to Roman and possible later enclosure, based on excavations.",Possible Bronze Age ring ditch could indicate earlier activity.,Possible later Roman or post-Roman enclosure.,No,No,No,No,Yes,Yes,No,No,B,Yes,Yes,Yes,No,No,No,No
5,"British Camp, Herefordshire (Herefordshire Beacon)","The earlier enclosure of Phase I could be late Bronze Age or early Iron Age whist the main enclosure (Phase II) is thought to be of the middle Iron Age. The ringwork on the summit is thought to be medieval. There is only slight evidence of Romano-British activity. There is no evidence of pre-hillfort activity, althought it has been speculated that the medieval ringwork could be a re-working of an earlier enclosure. No dating is entirely secure.","There is no evidence of pre-hillfort activity, althought it has been speculated that the medieval ringwork could be constructed on an earlier enclosure.",The ringwork is thought to be of medieval date.,No,No,Yes,Yes,Yes,No,Yes,No,C,No,Yes,No,No,Yes,No,No
6,"Broad Oak, Garway, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",Possibly Iron Age.,Flint scraper found of possible early date.,Coin of Lucilla in Hereford Museum and 4th century AD Roman ware fragment suggest later Roman influence. Former 17th/early 18th century cottage in the interior.,No,No,No,No,Yes,No,No,No,C,Yes,Yes,Yes,No,No,No,No
8,"Chase Wood Camp, Herefordshire",None,Neolithic implements and Mesolothic microlith found as result of tree clearance.,NA,No,No,No,No,No,No,No,Yes,D,Yes,No,Yes,No,No,No,No
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
10,"Coxall Knoll Camp, Herefordshire",None,NA,NA,No,No,No,No,No,No,No,Yes,D,No,No,No,Yes,No,No,No
11,"Credenhill Camp, Herefordshire","First construction circa 390 BC, occupation ending AD 60, agreeing with evidence from Croft Ambrey. Romano-British sherds found by Stanford.",Bronze Age sherd found.,Evidence of Romano-British activity. Medieval cultivation of interior.,No,No,No,Yes,Yes,No,No,No,B,Yes,Yes,Yes,No,No,No,No
