Main_Atlas_Number,Main_Display_Name,Interior_Summary,Interior_Water_Comments,Interior_Surface_Comments,Interior_Excavation_Comments,Interior_Geophysics_Comments,Interior_Water_None,Interior_Water_Spring,Interior_Water_Stream,Interior_Water_Pool,Interior_Water_Flush,Interior_Water_Well,Interior_Water_Other,Interior_Surface_None,Interior_Surface_Round,Interior_Surface_Rectangular,Interior_Surface_Curvilinear,Interior_Surface_Roundhouse,Interior_Surface_Pit,Interior_Surface_Quarry,Interior_Surface_Other,Interior_Excavation_None,Interior_Excavation_Pit,Interior_Excavation_Posthole,Interior_Excavation_Roundhouse,Interior_Excavation_Rectangular,Interior_Excavation_Road,Interior_Excavation_Quarry,Interior_Excavation_Other,Interior_Excavation_Nothing,Interior_Geophysics_None,Interior_Geophysics_Pit,Interior_Geophysics_Roundhouse,Interior_Geophysics_Rectangular,Interior_Geophysics_Road,Interior_Geophysics_Quarry,Interior_Geophysics_Other,Interior_Geophysics_Nothing
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)","Little information about interior was gleaned from the investigations, but Kenyon suggested that occupation of the site was similar to that found at Sutton Walls and Dinedor Camp. Internal quarry scoops, especially on the N and S sides",Spring 0.3km located outside the hillfort,"Little information is available from surface evidence, but there are internal quarry scoops, especially on the N and S sides.",NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2,"Bach Camp, Herefordshire",None,Stream 0.1km located outside hillfort,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)","A number of cloudy blue flints, two burnt flints and a core come from the W rampart, otherwise no evidence.",Stream 0.7km located outside the hillfort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
4,"Brandon Camp, Herefordshire","Possible hut circles 12m-15m in diameter were found in the interior. Excavations proved extensive Roman occupation with possible hut circles in interior. This involved Roman occupation of Neronian date with military granary, officer's quarters and commandant's house and trenches of timber buildings cut into the rock. Large pits also found. Pottery and coins of Neronian date (AD 55-60), including 14 sherds of Samian ware of same date. High status finds in area considered as commandant's quarters. Iron Age iron and bronze buckle. Malvernian Iron Age pottery and Cheshire VCP. Plano-convex flint knife from ring ditch.",Stream 0.1km located outside the hillfort,Possible hut circles 12m-15m in diameter were found in the interior.,"Roman occupation of Neronian date with military granary, officer's quarters and commandant's house and trenches of timber buildings cut into the rock. Large pits also found. Numerous postholes attributed to Iron Age occupation. Evidence of roundhouse near NW rampart. Possible Bronze Age ring ditch at highest point of interior.",NA,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No
5,"British Camp, Herefordshire (Herefordshire Beacon)",At least 118 hut platforms have been identified in the Phase II enclosure. Quarry hollows also found on the hillfort.,Possible spring within the bottom of the first phase ditch. Spring 0.25km outside hillfort.,At least 118 hut platforms have been identified in the Phase II enclosure. Quarry hollows also found on the hillfort.,Excavation in 1879. Possibly hut platforms.,NA,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
6,"Broad Oak, Garway, Herefordshire","Site destroyed, now only a cropmark and any internal features not recorded.",No water on site.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
7,"Capler Camp, Herefordshire (Woldbury; Wobury)","Interior surface possibly levelled. Coin of Lucilla in Hereford Museum. 4th century AD Roman ware fragment. Flint scraper of indeterminate date. Lump of iron slag. Boar's tusk fragment, bone fragment (indeterminate) and three snail shells.",Long pond sited in the S ditch between the inner and outer ramparts on site; River Wye located 0.3 km outside hillfort.,NA,Interior surface possibly levelled.,NA,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
8,"Chase Wood Camp, Herefordshire","No features apparent, but tree clearance and ploughing unearthed Neolithic implements, including scrapers, burins, and arrowhead of lozenge shape. Also Mesolithic microlith. To W of hillfort ramparts outside the fort quantity of Iron Age pottery, blue glass bead and worn 3rd or 4th century Roman coin found.",Stream 0.8 km located outside the hillfort,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",No features apparent and woodland inhibits identification.,Stream located 0.2 km outside fort.,Woodland inhibits identification of features.,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
10,"Coxall Knoll Camp, Herefordshire",None,River Teme located 0.3 km outside the hillfort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
