Main_Atlas_Number,Main_Display_Name,Investigations_Summary,Related_Investigations
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)",In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1888). Surface examination 1948-51 as part of wider investigations by Kenyon (1953) following Sutton Walls excavations. Herefordshire Council survey 2012.,1st Identified Map Depiction (1888); Other (1951); Other (2012); 1st Identified Written Reference (1665-1693)
2,"Bach Camp, Herefordshire",On 1st Ed. OS map (1888). Herefordshire Aerial Archaeological Survey 2002-2006. Herefordshire Council survey 2012.,1st Identified Map Depiction (1888); Other (2012); Other (2002-2006)
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)",On 1st Ed. OS map (1888). Herefordshire Council survey 2012.,1st Identified Map Depiction (1888); Other (2012)
4,"Brandon Camp, Herefordshire",In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1888). Excavations by S.S.Frere 1981-85.  Aerial Archaeological Survey 2002-2006. Herefordshire Council survey 2012. Brandon Camp Management Plan 2015.,1st Identified Map Depiction (1888); Other (2012); Other (2015); 1st Identified Written Reference (1665-1693); Excavation (1981-1985); Other (2002-2006)
5,"British Camp, Herefordshire (Herefordshire Beacon)","In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1886). Excavation by Hilton-Price in 1879, General Pitt Rivers visiting the excavations and drawing a plan of the site. The site was surveyed 1999 as part of the Malvern Hills AONB Project by RCHME (Bowden 2005). Time Team special 2008. Herefordshire Council survey 2012.",Excavation (1879); Other (1879); 1st Identified Map Depiction (1886); Other (1999); Other (2008); Other (2012); 1st Identified Written Reference (1665-1693); Earthwork Survey (1999-2005)
6,"Broad Oak, Garway, Herefordshire",Herefordshire Council survey 2012.,Other (2012)
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1888). Excavation by G.H. Jack and A.G.K. Hayter 1924. Herefordshire Council survey 2012. Visited by Woolhope Club 1990.,1st Identified Map Depiction (1888); Excavation (1924); Other (1990); Other (2012); 1st Identified Written Reference (1665-1693)
8,"Chase Wood Camp, Herefordshire",Herefordshire Council survey 2012.,Other (2012)
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",On 1st Ed. OS map (1888). Herefordshire Council survey 2012 and EH topographical surveys.,1st Identified Map Depiction (1888); Other (2012); Earthwork Survey (2001-2017)
10,"Coxall Knoll Camp, Herefordshire",In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1888). Herefordshire Council survey 2012.,1st Identified Map Depiction (1888); Other (1967); Other (2012); 1st Identified Written Reference (1665-1693)
11,"Credenhill Camp, Herefordshire",In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1888). Excavations by S. Stanford 1963. Field survey 2003. Small excavations 2007-09. Small excavations in 2009-20011 Cambridge Archaeological Unit. Topographical survey by Herefordshire Archaeology 2008? Reports awaited. Herefordshire Council survey 2012.,1st Identified Map Depiction (1888); Excavation (1963); Other (2003); Other (2012); 1st Identified Written Reference (1665-1693); Other (2007-2009); Earthwork Survey (2008); Excavation (2009-2011)
12,"Croft Ambrey, Herefordshire","In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1885-1900). Excavations between 1960-66 by the Woolhope Naturalist's Field Club under the direction of S.C. Stanford, excavation report published  privately 1974.  Herefordshire Council survey 2012.",Other (1968); Other (2012); 1st Identified Written Reference (1665-1693); 1st Identified Map Depiction (1885-1900); Excavation (1960-1966)
13,"Dinedor Camp, Herefordshire (Oyster Hill)","On 1st Ed. OS map (1885-1900). On 1st Ed. OS map (1888). Trial excavation in 1951 at rear of rampart at the NE corner, with a trench nearby to the top of the hill. Heavy occupation proved behind the rampart, but none at the top of the hill. Watching brief in 1998 on development to E of hillfort showed pit and shallow ditch with mid Iron Age pottery and Roman Severn Valley ware. Also possible outer edge of hillfort ditch. Herefordshire Council survey of 2012.",1st Identified Map Depiction (1888); Excavation (1951); Other (1998); Other (2012); 1st Identified Written Reference (1665-1693)
14,"Dinmore Hill, Herefordshire","On 1st Ed. OS map (1888). Time Team investigation 2009. Detail not known and report forthcoming but environmental sampling undertaken. Herefordshire Council survey. 2009 Geophysical survey, GSB (available on ADS, Oasis report no: gsbprosp1-75274).",1st Identified Map Depiction (1888); Excavation (2009); Geophysical Survey (2009); Other (2012)
15,"Dorstone Hill, Herefordshire",On 1st Ed. OS map (1887). Herfordshire Council survey 2012.,1st Identified Map Depiction (1887); Other (2012)
16,"Downton Camp, Herefordshire",On 1st Ed. OS map (1888). Field investigations in 1972 (no reference available) and Herefordshire Council survey in 2012.,1st Identified Map Depiction (1888); Other (1972); Other (2012)
17,"Eaton Camp, Herefordshire","In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1887). Small investigation as result of small development outside the NW corner, LiDAR (2011) and topographical survey, geophysics and trial excavation 2012. Herefordshire Council survey 2012.",1st Identified Map Depiction (1887); LiDAR Survey (2011); Other (2012); 1st Identified Written Reference (1665-1693); Excavation (1985-2012)
18,"Gaer Cop, Herefordshire",The lack of investigation mitigates against detailed analysis of the site. Herefordshire Council survey 2012.,Other (2012)
19,"Garmsley Camp, Worcestershire (The Wrathes)",On 1st Ed OS map (1888).,1st Identified Map Depiction (1888)
20,"Haffield Camp, Herefordshire",On 1st Ed OS map (1888). Herefordshire Council survey 2012.,1st Identified Map Depiction (1888); Other (2012)
21,"Ivington Camp, Herefordshire",In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed OS map (1888). Recording of narrow service trench 1996. Geophysical survey 1996. Watching Brief found no archaeology 2003. Herefordshire Council survey of 2012.,1st Identified Map Depiction (1888); Other (1968); Other (1996); Geophysical Survey (1996); Other (2003); Other (2012); 1st Identified Written Reference (1665-1693)
22,"Little Doward, Herefordshire",On 1st Ed OS map (1888). Excavation 2009 and 2011 with dating evidence and EH topographical survey. Herefordshire Council survey 2012.,1st Identified Map Depiction (1888); Earthwork Survey (2009); Other (2012); Excavation (2009-2011)
23,"Mere Hill, Herefordshire (Mere Hill Wood)",Excavation and topographical survey by Herefordshire Archaeology (Ray and Hoverd 2000); all three trenches devoid of archaeology. Herefordshire Council survey 2012.,Excavation (2000); Earthwork Survey (2000); Other (2012)
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",On 1st Ed OS map (1889). Excavations:  Hilton Price 1879; Hughes 1924; Stanford 1965-70. Herefordshire Council survey 2012. English Heritage field survey 1999-2005.,Excavation (1879); 1st Identified Map Depiction (1889); Excavation (1924); Other (2012); Excavation (1965-1970); Earthwork Survey (1999-2005)
25,"Oldbury, Much Marcle, Herefordshire",On 1st Ed OS map (1888). Herefordshire Council survey 2012,1st Identified Map Depiction (1888); Other (2012)
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)",On 1st Ed OS map (1888). Herefordshire Council survey 2012.,1st Identified Map Depiction (1888); Other (2012)
27,"Penapark, Herefordshire (Pen y Park)",Herefordshire Council survey of 2012.,Other (2012)
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)",On Taylor's 1754 map. On 1st Ed. OS map (1888). Excavation R.S. Gavin Robinson et al in 1932-7. Herefordshire Council survey 2012.,1st Identified Map Depiction (1754); Other (1888); Other (2012); Excavation (1932-1937)
29,"Pyon Wood, Herefordshire",On 1st Ed OS map 1886. Herefordshire Council survey 2012.,1st Identified Map Depiction (1886); Other (2012)
30,"Risbury Camp, Herefordshire",On 1st Ed OS map 1886. Herefordshire Council survey 2012.,1st Identified Map Depiction (1886); Other (1968); Other (2012)
31,"Sutton Walls, Herefordshire","Visited by Leland in 16th century. In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed OS map 1887. Salvage excavations were undertaken by K.M. Kenyon between 1948-51, with the excavation report published in 1954. The site was very rich in artefacts; particularly late Iron Age and Roman pottery. Herefordshire CC survey 2012.",1st Identified Map Depiction (1887); Other (2012); Other (1665-1693); 1st Identified Written Reference (1501-1600); Excavation (1948-1954)
32,"Timberline, Herefordshire (Timberline Camp)",Trial excavations were undertaken in 1932 by R.S. Gavin Robinson and Marshal and in 1952 by the Hereford WMAS group under K.O.M. Dauncey. Herefordshire Council survey 2012.,Excavation (1932); Excavation (1952); Other (2012)
33,"Uphampton Camp, Herefordshire",On 1st Ed OS map (1886). Herefordshire Council survey 2012,1st Identified Map Depiction (1886); Other (2012)
34,"Wall Hills Camp, Ledbury, Herefordshire (Wall Hills, Ledbury)",On 1st Ed OS map (1887). Herefordshire Council survey 2012,1st Identified Map Depiction (1887); Other (2012)
35,"Wall Hills, Thornbury, Herefordshire",On 1st Ed OS map (1886). Herefordshire Council survey 2012.,1st Identified Map Depiction (1886); Other (2012)
36,"Walterstone Camp, Herefordshire (Coed-y-Grafel)",On 1st Ed OS map (1887). Herefordshire Council survey 2012.,1st Identified Map Depiction (1887); Other (2012)
37,"Wapley Camp, Herefordshire",On 1st Ed OS map (1886). Management agreement post 2004. Herefordshire Council survey 2012.,1st Identified Map Depiction (1886); Other (1968); Other (2004); Other (2012)
38,"Westington Camp, Herefordshire",On 1st Ed OS map (1886). Herefordshire Council survey 2012.,1st Identified Map Depiction (1886); Other (2012)
39,"Abdon Burf, Shropshire",On 1st Ed. OS map (1885-1900). Small excavations C.H. Hartshorne 1840 and G.R. Harding-Webster 1929-30. Shropshire Council survey of 2012.,Excavation (1840); Other (2012); 1st Identified Map Depiction (1885-1900); Excavation (1929-1930)
40,"Billings Ring, Shropshire",On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1974. Field observation Shropshire CC 1981. Field observation English Heritage 1985. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.,Other (1974); Other (1981); Other (1985); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
41,"Blodwell Rock, Shropshire",On 1st Ed. OS map (1875). Field observation 1972. Field observation Shropshire CC 1981. Field observation English Heritage 1987. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.,1st Identified Map Depiction (1875); Other (1972); Other (1981); Other (1987); Other (2012); Other (1993-2000)
42,"Knuck Wood, Shropshire (Birches Bank)",On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1973. Field observation Shropshire CC 1981. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.,Other (1973); Other (1981); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
43,"Bodbury Ring, Shropshire",On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1972. Field observation Shropshire CC 1981. Survey National Trust 1995. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire. Shropshire Council survey 2012.,Other (1972); Other (1981); Other (1995); Other (2009); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
44,"Bulthy Hill, Shropshire",Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Field observation Shropshire CC 1991. Shropshire Council survey 2012.,Other (1991); Other (2012); Other (1993-2000)
45,"Burf Castle, Shropshire","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1979. Field observation Shropshire CC 1976, 1977. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",Other (1976); Other (2012); Other (1976-1977); 1st Identified Map Depiction (1985-1990); Other (1993-2000)
46,"Burrow Hill Camp, Shropshire (Burrow Hill)","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1973. Small excavation by Toller 1978 (unpublished). Also form, line, contour and resistivity surveys. Field observation Shropshire CC 1981. Field observation English Heritage 1987. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Surveys by Shropshire CC 2012.",Other (1973); Excavation (1978); Other (1981); Other (1987); Other (2009); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000); Other (None-None)
47,"Bury Ditches, Shropshire","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1973. Field observation Shropshire CC 1976, 1981. Field observation English Heritage 1985. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",Other (1968); Other (1973); Other (1985); Other (2009); Other (2012); Other (1976-1981); 1st Identified Map Depiction (1985-1900); Other (1993-2000)
48,"Bury Walls, Shropshire","On 1st Ed OS map (1885-1900). Excavation J.A. Morris, 1932. Field observation Ordnance Survey 1962. Field observations Shropshire CC 1976, 1981. Field observations English Heritage 1979, 1980, 1982, 1984. Surveys and investigation by Birmingham University 1998-2000 included topographical survey and geophysics. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",Excavation (1930); Other (1962); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1976-1981); Other (1979-1984); Other (1993-2000); Geophysical Survey (1998-1999); Earthwork Survey (1998-2000)
49,"Caer Caradoc, Clun, Shropshire (Caer Caradoc, Chapel Lawn; Gaer Ditches)","In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed OS map (1885-1900). Field observations Ordnance Survey 1973, 1979. Field observations Shropshire CC 1977, 1981. Field observations English Heritage 1980, 1984. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Evaluation E.A. Pearson 1995. Shropshire Council survey 2012.",Other (1995); Other (2012); 1st Identified Written Reference (1665-1693); 1st Identified Map Depiction (1885-1900); Other (1973-1979); Other (1977-1981); Other (1980-1984); Other (1993-2000)
50,"Caer Caradoc, Church Stretton, Shropshire",Drawn by Elias Ashmole (1662). On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1972. Field observation English Heritage 1985. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012,1st Identified Written Reference (1662); Other (1968); Other (1972); Other (1985); Other (2009); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
51,"Caerbre, Shropshire (Chirbury)",On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1973. Field observation Shropshire CC 1981. Field observation English heritage 1987. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.,Other (1973); Other (1981); Other (1987); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
52,"Caer-Din Ring, Shropshire (Caer Din Ring)","On 1st Ed OS map (1885-1900). Field observations Ordnance Survey 1973, 1979. Field observation Shropshire CC 1981. Field observation English Heritage 1987. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",Other (1981); Other (1987); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1973-1979); Other (1993-2000)
53,"Calcot Camp, Shropshire","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1973, 1979. Field observation Shropshire CC 1981. Field observation English heritage 1987. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.",Other (1981); Other (1987); 1st Identified Map Depiction (1885-1900); Other (1973-1979); Other (1993-2000)
54,"Callow Hill Camp, Shropshire","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1971. Field observation Shropshire CC 1981. Field observation English Heritage 1981,1987. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Callow Hill Quarry investigation 2012. Shropshire Council survey 2012.",Other (1971); Other (1981); Other (2012); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1981-1987); Other (1993-2000)
55,"Castle Idris, Shropshire (Garn Bank)","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1973. Field observation Shropshire CC 1977, 1981. Field observation English Heritage 1987. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",Other (1973); Other (1987); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1977-1981); Other (1993-2000)
56,"Castle Ring, Gorsty Bank, Shropshire (Gorsty Bank)","On 1st Ed. OS map (1885-1900). Field observation Ordnance Survey 1971. Field observation English Heritage 1963, 1987. Field observation Shropshire CC 1981. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.Shropshire Council survey 2012.",Other (1971); Other (1981); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1963-1987); Other (1993-2000)
57,"Castle Ring, Horderley, Shropshire","On 1st Ed. OS map (1885-1900). Field observation Ordnance Survey 1972. Field observarion English Heritage 1981, 1986. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.",Other (1972); 1st Identified Map Depiction (1885-1900); Other (1981-1986); Other (1993-2000)
58,"Castle Hill, Oak Hill, Shropshire (Oak Hill)",On 1st Ed. OS map (1885-1900). Field observation Ordnance Survey 1971. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire CC Stiperstones survey 2003-04. Shropshire Council survey 2012.,Other (1971); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000); Other (2003-2004)
59,"Castle Ring, Stitt Hill, Shropshire","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1972, 1973. Field observation English Heritage 1987. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.Shropshire Council survey 2012.",Other (1987); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1972-1973); Other (1993-2000)
60,"Caus Castle, Shropshire",On 1st Ed OS map (1885-1900). Field observationOrdnance Survey 1971. Field observation English heritage 1987. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. ShropshireShropshire Council survey 2012. Gradiometer survey G. Carey 2015.,Other (2012); Geophysical Survey (2015); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
61,"Caynham Camp, Shropshire","On 1st Ed. OS map (1885). Excavation by P.S. Gelling 1957-61. Field observation Shropshire CC 1981. Field observation English Heritage 1981, 1988. Dowsing survey 1994. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",1st Identified Map Depiction (1885); Other (1968); Other (1981); Other (1994); Other (2012); Excavation (1957-1961); Other (1981-1988); Other (1993-2000)
62,"Chesterton Walls, Shropshire","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1979. Field observation English Heritage 1972, 1979, 1982. Field observation Shropshire CC 1981. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",Other (1979); Other (1981); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1972-1982); Other (1993-2000)
63,"Clee Burf, Shropshire",On 1st Ed. OS map (1885-1900). Field observation Ordnance Survey. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey of 2012. Watching Brief SLR Consulting 2014.,Other (1971); Other (2012); Other (2014); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
64,"Coed y Gaer, Oswestry, Shropshire","On 1st Ed OS map (1885-1900). Field observation Ordnance Survey 1971. Field observation Shropshire CC 1981. Field observations English Heritage 1981, 1983. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey of 2012.",Other (1971); Other (1981); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1981-1983); Other (1993-2000)
65,"Colstey Bank, Shropshire","Discovered by aerial photography by Chris Musson 1976. Shropshire CC survey 1976. Field observation Shropshire CC 1981. Field observation English Heritage 1976, 1980, 1987. Shropshire Council survey 2012. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.",Other (1976); Other (1976); Other (1981); Other (2012); Other (1976-1987); Other (1993-2000)
66,"Earl's Hill, Shropshire (Earl's Hill Camp)","On 1st Ed. OS map (1882). Field observation Ordnance Survey 1971. Field observation English Heritage 1981, 1987. Field observation Shropshire CC 1978. Condition survey and management plan for Earl's Hill Nature Reserve 1998. Small indeterminate investigation on summit in 2011 to investigate possible gully on the summit of the hill. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",1st Identified Map Depiction (1882); Other (1971); Other (1978); Other (1998); Other (2009); Excavation (2011); Other (2012); Other (1981-1987); Other (1993-2000)
67,"Ebury Hill, Shropshire (Ebury)","On 1st Ed. OS map (1881). Excavations by Simms 1943 and S.C. Stanford 1977 and Watching Briefs Hannaford 1997, 1999, 2000.  Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.",1st Identified Map Depiction (1881); Excavation (1943); Excavation (1977); Other (2012); Other (1993-2000)
68,"Fron Camp, Shropshire (The Vron)","Field observations English Heritage 1966, 1987. Field observations Ordnance Survey 1973, 1979. Field observations Shropshire CC 1977, 1981, Shropshire Council survey of 2012. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.",Other (2012); Other (1966-1987); Other (1973-1979); Other (1977-1981); Other (1993-2000)
69,"Haughmond Hill Camp, Shropshire (Haughmond Castle; Castle Earthwork)",Shropshire Council survey 2012. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.,Other (2012); Other (1993-2000)
70,"Knowle, Shropshire",Shropshire Council survey 2012.,Other (2012)
71,"Llanymynech Hill, Powys",Finds and antiquarian references from 18th century - no details. On 1st Ed. OS map (1875). CPAT observations during construction of service pipes for new reservoir at site 1981. CPAT trench over middle rampart as part of Severn Trent works 1995. CPAT detailed measured survey of local Llanymynech Heritage Area 2004. Numerous observations and watching briefs by CPAT and other bodies from 1970's onwards.,1st Identified Map Depiction (1875); Excavation (1981); Excavation (1995); Other (2004); 1st Identified Written Reference (1701-1800); 1st Identified Written Reference (1701-1800); Other (1970-None)
73,"Nordy Bank, Shropshire",On 1st Ed. OS map (1885-1900). Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.Shropshire Council survey of 2012.,Other (1968); Other (2009); Other (2012); 1st Identified Map Depiction (1985-1900); Other (1993-2000)
74,"Norton Camp, Shropshire",On 1st Ed OS map (1885-1900). Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.Shropshire Council survey 2012.,Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
75,"Old Oswestry, Shropshire","In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed OS map (1885-1900). Excavation by Varley 1939-40, but no excavation report published. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000.Shropshire Council survey 2012.",Other (1977); Other (2012); 1st Identified Written Reference (1665-1693); 1st Identified Map Depiction (1885-1900); Excavation (1939-1940); Other (1993-2000)
76,"Nesscliffe Hill Camp, Shropshire (Oliver's Point)",On 1st Ed. OS map (1885-1900). Excavation by Hume and Jones 1953-56. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.,Other (2012); 1st Identified Map Depiction (1885-1900); Excavation (1953-1956); Other (1993-2000)
77,"Pave Lane, Shropshire","Field observation English Heritage 1977, 1984. Excavation and geophysical survey by Smith 1990. Area of the interior, ditches and SW entrance were investigated. Shropshire Council survey 2012.",Excavation (1990); Geophysical Survey (1990); Other (2012); Other (1977-1984)
78,"Pontesford Hill Camp, Shropshire (Pontesbury)",On 1st Ed OS map (1885-1900). Excavation by Barker in 1963 as a result of forestry track operations. Air Photograph Interpretation RCHME: Marches Uplands NMP 1993-2000. Shropshire Council survey 2012.,Excavation (1963); Other (2009); Other (2012); 1st Identified Map Depiction (1885-1900); Other (1993-2000)
