Main_Atlas_Number,Main_Display_Name,Annex_Summary,Annex
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)",NA,No
2,"Bach Camp, Herefordshire",NA,No
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)",NA,No
4,"Brandon Camp, Herefordshire",NA,No
5,"British Camp, Herefordshire (Herefordshire Beacon)",NA,No
6,"Broad Oak, Garway, Herefordshire",NA,No
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",NA,No
8,"Chase Wood Camp, Herefordshire",NA,No
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",NA,No
10,"Coxall Knoll Camp, Herefordshire","The three enclosures within a continuous line of defences, some fragmentary, are the result of possible phased construction rather than annexe.",No
11,"Credenhill Camp, Herefordshire",NA,No
12,"Croft Ambrey, Herefordshire","Large entrance located on the S of the main enclosure with two weak banks that get smaller as they turn N. Within the annexe of c. 4.8ha Stanford found an early Roman terrace, followed by a squarish mound which had clearly been used for animal sacrifice and which has been suggested as a possible Romano-British temple.",Yes
13,"Dinedor Camp, Herefordshire (Oyster Hill)",NA,No
14,"Dinmore Hill, Herefordshire",NA,No
15,"Dorstone Hill, Herefordshire",NA,No
16,"Downton Camp, Herefordshire",NA,No
17,"Eaton Camp, Herefordshire",NA,No
18,"Gaer Cop, Herefordshire",NA,No
19,"Garmsley Camp, Worcestershire (The Wrathes)",NA,No
20,"Haffield Camp, Herefordshire",NA,No
21,"Ivington Camp, Herefordshire",NA,No
22,"Little Doward, Herefordshire","Rectangular SE 'annexe', which may be an earlier enclosure, is enclosed on three sides by natural outcrops. Excavation (Dorling et. al. 2012) found a rampart and ditch across the neck of the promontory.",Yes
23,"Mere Hill, Herefordshire (Mere Hill Wood)",NA,No
24,"Midsummer Hill, Herefordshire (Midsummer Hill Camp)",NA,No
25,"Oldbury, Much Marcle, Herefordshire",NA,No
26,"Pen-Twyn Camp, Brilley, Herefordshire (Pen Twyn Camp)",NA,No
27,"Penapark, Herefordshire (Pen y Park)",NA,No
28,"Poston Camp, Herefordshire (Lower Park Wood Camp)",NA,No
29,"Pyon Wood, Herefordshire",NA,No
30,"Risbury Camp, Herefordshire",NA,No
31,"Sutton Walls, Herefordshire",NA,No
