Main_Atlas_Number,Main_Display_Name,Enclosing_Area_1,Enclosing_Area_2,Enclosing_Area_3,Enclosing_Area_4,Enclosing_Enclosed_Area,Enclosing_Area,Enclosing_Max_Ramparts,Enclosing_NE_Quadrant,Enclosing_SE_Quadrant,Enclosing_SW_Quadrant,Enclosing_NW_Quadrant,Enclosing_Ditches_Number,Enclosing_Summary,Enclosing_Multiperiod_Comments,Enclosing_Circuit_Comments,Enclosing_Quadrant_Comments,Enclosing_Surface_Comments,Enclosing_Excavation_Comments,Enclosing_Gang_Working_Comments,Enclosing_Ditches_Comments,Enclosing_Multiperiod,Enclosing_Circuit,Enclosing_Current_Part_Uni,Enclosing_Current_Uni,Enclosing_Current_Part_Bi,Enclosing_Current_Bi,Enclosing_Current_Part_Multi,Enclosing_Current_Multi,Enclosing_Current_Unknown,Enclosing_Period_Part_Uni,Enclosing_Period_Uni,Enclosing_Period_Part_Bi,Enclosing_Period_Bi,Enclosing_Period_Part_Multi,Enclosing_Period_Multi,Enclosing_Surface_None,Enclosing_Surface_Bank,Enclosing_Surface_Wall,Enclosing_Surface_Rubble,Enclosing_Surface_Walk,Enclosing_Surface_Timber,Enclosing_Surface_Vitrification,Enclosing_Surface_Burning,Enclosing_Surface_Palisade,Enclosing_Surface_Counter_Scarp,Enclosing_Surface_Berm,Enclosing_Surface_Unfinished,Enclosing_Surface_Other,Enclosing_Excavation_Nothing,Enclosing_Excavation_Bank,Enclosing_Excavation_Wall,Enclosing_Excavation_Murus,Enclosing_Excavation_Timber_Framed,Enclosing_Excavation_Timber_Laced,Enclosing_Excavation_Vitrification,Enclosing_Excavation_Burning,Enclosing_Excavation_Palisade,Enclosing_Excavation_Counter_Scarp,Enclosing_Excavation_Berm,Enclosing_Excavation_Unfinished,Enclosing_Excavation_No_Known,Enclosing_Excavation_Other,Enclosing_Gang_Working,Enclosing_Ditches
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)",7.1,-1.0,-1.0,-1.0,7.1,9.3,1.0,1.0,1.0,1.0,1.0,1.0,"Univallate hillfort with complete circuit, but the ditch is only visible on S and E sides, destroyed, or never built, elsewhere. The rampart reaches up to 4.5m high to S, where ditch to 1.5m, but only 0.5m in W.",Univallate hillfort with complete circuit.,Single rampart continues around circuit.,NA,"Little surface evidence of features and the bank is possibly earthen. A berm exists to the N and W, created at the base of the rampart. Possible internal revetments were found within the ramparts.",NA,NA,"Main ditch only present on the S and E sides, elsewhere destroyed or never constructed.",No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
2,"Bach Camp, Herefordshire",4.1,-1.0,-1.0,-1.0,4.1,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Defined differentially by single rampart to 5.1m high, with part-buried outer ditch and counterscarp bank to N, E and possibly S, rising to 1.8m. Counterscarp bank is complex and difficult to unravel and probably also existed on W. Mostly removed by cultivation and on E merges into a berm before re-appearing; possibly result of landslip or not finished.",NA,"The ramparts are irregular which makes assessment difficult, but generally complete the circuit.",NA,"Bank possibly earthen. Counterscarp bank complex and difficult to unravel and probably also existed on W. Mostly removed by cultivation, and on E merges into a berm before reappearing; possibly result of landslip or not finished.",None,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)",2.8,-1.0,-1.0,-1.0,2.8,-1.0,3.0,3.0,1.0,2.0,3.0,2.0,"Three ramparts and ditches on the N. Although damaged, inner and outer ramparts continuous on the W side, the outer altered and reduced. Also damaged because of an ancient landslide, the ramparts are discontinuous on the E and S.",NA,"Ramparts damaged and discontinuous. On the W the inner and outer ramparts are continuous, the latter altered and reduced.",NA,NA,None,NA,"Ditches in evidence in the N, but absent or discontinuous elsewhere.",No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
4,"Brandon Camp, Herefordshire",4.8,-1.0,-1.0,-1.0,4.8,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Steep natural scarp artificially scarped with berm to 7.5m at the NW. Possible slight inner rampart on the N; remaining sides with simple rampart minus ditch, possibly filled.",Area not exact.,The ramparts are slight but complete the circuit.,NA,Possible earthen bank with a berm to 7.5m at the NW side.,NA,NA,Ditches absent and possibly filled. ,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,"British Camp, Herefordshire (Herefordshire Beacon)",3.0,14.7,-1.0,-1.0,14.7,-1.0,2.0,2.0,2.0,2.0,2.0,3.0,"In Phase I, c. 3ha were enclosed by a slight bank (in proportion) and impressive ditch above an artificially steepened scarp. Here the counterscarp is massive in places. In Phase II, the enclosure was enlarged to about 13.5ha following the 305m contour. The ramparts of the main Phase II enclosure are entirely visible.",The site is very long and sinuous. Phased construction.,"The ramparts of the Phase II overall enclosure, closely follow the 305m contour.",NA,Surface evidence of an earthen bank and counterscarp bank.,"The excavations found that In Phase I, c. 3ha were enclosed by a slight bank (in proportion) and impressive ditch above an artificially steepened scarp. Here the counterscap is massive in places. In Phase II, the enclosure was enlarged to about 13.5ha following the 305m contour.",NA,"The Phase I ditch is the principal feature, the bank slight. In Phase II the ditch is deep (as much as 11.6m below rampart) and massive in places. The Shire Ditch is medieval.",Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
6,"Broad Oak, Garway, Herefordshire",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,0.0,0.0,3.0,3.0,"Cropmark site. Three widely-spaced ditches appear to cut off the promontory with steep W slopes, less steep to the N and S. Possible earthworks may exist in woodland to the W, but no access to allowed to determine this. To the N a field boundary may indicate the site of rampart.",Cropmark only and its size or area has not been determined.,Suggested by ditches,NA,Cropmark only precludes analysis.,None,NA,"Because of the nature of the cropmark this is unclear, but possibly three.",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
7,"Capler Camp, Herefordshire (Woldbury; Wobury)",4.6,-1.0,-1.0,-1.0,4.6,-1.0,3.0,1.0,2.0,3.0,2.0,2.0,"Scarped natural slope on the direct W and N sides, with two ramparts and ditches on the weaker S. To the SW there are three ramparts and second ditch. The S side has substantial ramparts as opposed to the naturally defended N.",The site makes full use of the natural contours.,Scarped natural slope on the direct W and N sides. Strong natural defence on the N and W where there is a sheer drop to river.,NA,Possible earthen bank. Track runs from the ditch in the NW corner at the base of the scarp edge and possibly masking/utilising a berm. Prominent counterscarp running from the SW corner to NW corner.,NA,NA,The N and W sides are naturally strong and defended by a ditch only. Ditches with ramparts elsewhere.,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
8,"Chase Wood Camp, Herefordshire",10.8,-1.0,-1.0,-1.0,10.8,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Defended on S by rampart rising to nearly 2m above ground surface. Elsewhere there is a scarped natural slope with berm and traces of outer bank on W side. Unusual western defences as located 40m downslope from the interior with a berm at the base of the scarp, then a ditch and counterscarp.",Major use of natural slopes define the site.,Ramparts form the circuit making full use of the natural slopes.,NA,Scarped natural slopes with berm and counterscarp  a feature of the site.,None,NA,On the W.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)",1.7,-1.0,-1.0,-1.0,1.7,-1.0,2.0,1.0,1.0,2.0,2.0,0.0,"Double scarp with wide berm, with traces of an outer rampart to the berm on all sides apart from most of the E where steep natural slopes form the defence.","Because of the steep slopes on the E,  the site assumes a D-shape form.",Natural defence to most of the E side.,NA,Wide berm evident with possible earthen bank.,None,NA,"No traces of ditch, but possibly buried feature.",No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
10,"Coxall Knoll Camp, Herefordshire",3.2,5.8,-1.0,-1.0,5.8,9.0,4.0,4.0,4.0,2.0,3.0,2.0,"The W enclosure is defended by three ramparts and two intermediate ditches on the N, and by a berm on the S with a steep natural slope below a steepened scarp above. This is divided from the E enclosure by a double rampart and medial ditch, itself having two ramparts with medial ditch, the outer rampart mostly gone. There is a spoil ditch within the inner rampart. The N and smallest enclosure has a double rampart and medial ditch, the outer fragmented. Complex detail to the defences of the three enclosures.","The first phase measured 3.2ha; the Phase II to 5.8ha. The three enclosures suggest a multi- period site, but there is no direct evidence for this. Multi period details not determined.",A complex series of banks define the site. Multi period details not determined.,NA,Berm on S.,NA,NA,The ditches are very complex and vary between two and three.,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
11,"Credenhill Camp, Herefordshire",20.0,-1.0,-1.0,-1.0,20.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,"Substantial ramparts and ditch, the inner rampart (to 9m) higher than the outer (to 4m), with medial ditch. The height of the S rampart is augmented by scarping the natural hillslope with a berm along the base of the scarp. The detail is lost in places and exact nature not determined.",The largest hillfort in Herefordshire.,Variable ramparts around circuit.,NA,Berm to S rampart.,The wide bank noted as a possible rampart was shown by excavation to be a lynchet or headland of the medieval cultivation of the interior. Details of 2008 investigation awaited.,NA,"Medial ditches, their detail to be determined.",No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
12,"Croft Ambrey, Herefordshire",2.2,3.6,-1.0,-1.0,3.6,8.4,3.0,3.0,3.0,3.0,3.0,3.0,"Three ramparts and deep ditches define the site. Main rampart c. 10m above the external ditch with two lesser outer banks, the most S suggested as incomplete.","Phased construction and seven periods of occupation suggested between 450 BC to AD 49 on the evidence of gateway renewal. Firstly a rampart (later removed) and ditch (still visible) enclosing 2.2ha. Rows of possibly four-posters for grain storage. At least five periods of modification/reconstruction. Circa 390 BC bank levelled and new enclosure built of 3.6a visible as the inner rampart and two external banks and ditches. Later an annexe was added to the S, defined by two weak banks and ditches. The mound in the annexe proved to be Roman.",Three ramparts complete the circuit.,NA,It has been suggested that the most S of the two lesser outer banks is incomplete.,Detail is outlined in the summary.,NA,The external ditch is up to 10m below the main rampart.,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
13,"Dinedor Camp, Herefordshire (Oyster Hill)",3.9,-1.0,-1.0,-1.0,3.9,-1.0,2.0,2.0,1.0,0.0,2.0,1.0,"On NE side high bank to c. 8m high, elsewhere less to 3m, with ditch remnants. Scarp and berm on N and W sides. Possible stone revetment found on inner face of rampart. Defended by natural slope on most of the S side.",NA,S side defended by natural slope.,Defended by natural slope on most of the south side.,"Possible earthen bank, but rampart may have been revetted in stone. Scarp and berm on NW and W sides.",Possible stone revetment found on inner face of rampart.,NA,Watching brief on development to E of hillfort showed pit and shallow ditch. Possibly buried feature to fort.,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
14,"Dinmore Hill, Herefordshire",9.6,-1.0,-1.0,-1.0,9.6,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,"There is a single rampart and ditch and rock cut ditch and bank to W and earthworks at the E end have been confirmed by excavation. The W  bank effectively cuts off the promontory, with steep slopes on the other three sides, and could be interpreted as a possible cross-dyke.",Much has yet to be determined as to the exact boundary of the site.,No detail known but single rampart and ditch and rock cut ditch and bank to W and earthworks at the E end have been confirmed by excavation. Quadrants here postulated.,NA,NA,Single rampart and ditch and rock-cut ditch and bank to W and earthworks at the E end have been confirmed by excavation.,NA,Rock-cut ditch to the W bank determined. Aerial photographs determined ditch cut some 2m into clay soils. Geophysics found rock cut ditch butt end to 1.5m deep to SE.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
15,"Dorstone Hill, Herefordshire",0.19,-1.0,-1.0,-1.0,0.19,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Rampart and ditch 71m long running SW to NE, some 7m wide and up to 1.7m high. Artificially scarped slope and berm to NE. The scarped slope and berm is difficult to detect on the NE side.","Very degraded bank appears to underlie the rampart, extending away for some 15m, its origin unclear.",The shape is D-shaped and difficult to detect in places.,NA,Artificially scarped slope with berm to the NE.,NA,NA,Ditch to NW of the bank.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
16,"Downton Camp, Herefordshire",0.4,-1.0,-1.0,-1.0,0.4,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Protected by scarp and natural precipitous rock face on the S, the remainder protected by a rampart and outer ditch, the latter as a possible berm on the NE, before disappearing with the rampart 25m from the cliff edge on the SE.",Irregular defences to site with major use of natural rock. Area estimated.,Nature of defences are variable around circuit.,NA,NA,NA,NA,Ditch up to c. 10m wide and 1m-2m deep.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
