Main_Atlas_Number,Main_Display_Name,References,URL_Atlas,URL_Wiki,URL_NMR_Resource,NMR_URL,Record_URL
1,"Aconbury Camp, Herefordshire (Aconbury Beacon)","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Kenyon, K.M. 1953. Excavations at Sutton Walls, Herefordshire 1948-51, Archaeol J, 110, 25-6.  Page, W. 1908. The Victoria County History of the County of Herefordshire, 1, 201-2, London: St Catherine Press.  RCHME 1930. An Inventory of the Historical Monuments in Herefordshire, 1, SW, 13-14, London: HMSO.   Stanford, S. C. (ed.) 1976. Guide to Prehistoric and Roman Sites in Herefordshire. Woolhope Naturalists' Field Club Archaeological Research Section, 12-13.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0001,http://www.wikidata.org/entity/Q31113987,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0001.html
2,"Bach Camp, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Page, W. ed. 1908.The Victoria County History of the County of Herefordshire, 1, 214-15, London: St Catherine Press.  RCHME 1934. An Inventory of the Historical Monuments in Herefordshire, 3, 79, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0002,http://www.wikidata.org/entity/Q31113996,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0002.html
3,"Backbury Camp, Herefordshire (Ethelbert's Camp)","Cooke, W.H. 1882. Collections towards the history and antiquities of the county of Herefordshire in continuation of Duncumb's History; Vol 3 Greytree Hundred. Book in Hereford Library. III.   Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.  Page, W. ed.1908. The Victoria County History of the County of Herefordshire, 1, 209-10, London: St Catherine Press.    RCHME 1934. An Inventory of the Historical Monuments in Herefordshire, 1, 71-2, London: HMSO.  Stanford, S. C. (ed.) 1976. Guide to Prehistoric and Roman Sites in Herefordshire. Woolhope Naturalists' Field Club Archaeological Research Section, 17-18.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0003,http://www.wikidata.org/entity/Q31114017,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0003.html
4,"Brandon Camp, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Frere, S.S. 1987.  Brandon Camp, Herefordshire, Britannia,18, 49-92.  RCHME 1934. An Inventory of the Historical Monuments in Herefordshire, 3, NW, 3-4, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0004,http://www.wikidata.org/entity/Q31114037,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0004.html
5,"British Camp, Herefordshire (Herefordshire Beacon)","Bowden, M. 2000. British Camp or Herefordshire Beacon, Archaeol Investig Rep AI/4/2000, Swindon: English Heritage.  Bowden, M. 2005. The Malvern Hills, an ancient landscape, 19-22, plan, London: English Heritage.  Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Hilton Price, F.G. 1887. Camps on the Malvern Hills, Trans Woolhope Natur Fld Club, 9, (1877-80), 217-28.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0005,http://www.wikidata.org/entity/Q31114060,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0005.html
6,"Broad Oak, Garway, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0006,http://www.wikidata.org/entity/Q31113962,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0006.html
7,"Capler Camp, Herefordshire (Woldbury; Wobury)","Bull, H G. 1883. Woldbury, or Caplar Camp.,Trans Woolhope Natur Field Club, 44-49.   Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Jack, G.H. and Haytor, A.G.K. 1925. Excavations at the site of Capler Camp. Trans Woolhope Natur Fld Club, 83-88.  Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 204-5, London: St Catherine Press.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0007,http://www.wikidata.org/entity/Q5036034,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0007.html
8,"Chase Wood Camp, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 219, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2 (E), 167, 6, London: HMSO.   Stanford, S. C. (ed.). 1976. Guide to Prehistoric and Roman Sites in Herefordshire. Woolhope Naturalists' Field Club Archaeological Research Section, 24-25.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0008,http://www.wikidata.org/entity/Q31114068,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0008.html
9,"Cherry Hill Camp, Herefordshire (Fownhope Camp)","Dorling, P. and Wigley, A. 2012: Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Page, W. ed.1908. The Victoria County History of the County of Herefordshire, 1, 212-13, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 2 (E), 83, 30, London: HMSO.   Stanford, S. C. (ed.). 1976. Guide to Prehistoric and Roman Sites in Herefordshire, Woolhope Naturalists' Field Club Archaeological Research Section. Page 20.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0009,http://www.wikidata.org/entity/Q31114079,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0009.html
10,"Coxall Knoll Camp, Herefordshire","Dorling, P. and Wigley, A. 2012. Assessment of the archaeological and conservation status of major later prehistoric enclosures in Herefordshire and Shropshire, EH PNUM, Version 3.2, Hereford and Shrewsbury: Herefordshire Council/Shropshire Council.   Page, W. ed. 1908. The Victoria County History of the County of Herefordshire, 1, 203, London: St Catherine Press.  RCHME 1931-34. An Inventory of the Historical Monuments in Herefordshire, 3 (NW), 27, London: HMSO.",https://hillforts.arch.ox.ac.uk/?query=Atlas_of_Hillforts_4166_0%2CMain_Atlas_Number%2C0010,http://www.wikidata.org/entity/Q31114090,NA,NA,http://hillforts.arch.ox.ac.uk/records/EN0010.html
