fig_no,file_name,title
1,hillforts_primer_part03-001-topo.png,Boundary Boundary Type
2,hillforts_primer_part03-002-topo.png,Boundary Type Excluding Null Values
3,hillforts_primer_part03-003-topo.png,Boundary Type NA
4,hillforts_primer_part03-004-topo.png,Boundary Type County
5,hillforts_primer_part03-005-topo.png,Boundary Type National
6,hillforts_primer_part03-006-topo.png,Boundary Type Parish/Townland
7,hillforts_primer_part03-007-topo.png,Boundary Type Other
8,hillforts_primer_part03-008-topo.png,Boundary Current Parish 2 
9,hillforts_primer_part03-009-topo.png,Dating
10,hillforts_primer_part03-010-topo.png,Dating Dated only
11,hillforts_primer_part03-011-topo.png,Dating Date Pre 1200BC 
12,hillforts_primer_part03-012-topo.png,Dating Date 1200BC 800BC 
13,hillforts_primer_part03-013-topo.png,Dating Date 800BC 400BC 
14,hillforts_primer_part03-014-topo.png,Density Dating Date 800BC 400BC
15,hillforts_primer_part03-015-topo.png,Dating Date 800BC 400BC 
16,hillforts_primer_part03-016-topo.png,Dating Date 400BC AD50 
17,hillforts_primer_part03-017-topo.png,Density Dating Date 400BC AD50
18,hillforts_primer_part03-018-topo.png,Dating Date 400BC AD50 
19,hillforts_primer_part03-019-topo.png,Dating Date AD50 AD400 
20,hillforts_primer_part03-020-topo.png,Dating Date AD400 AD800 
21,hillforts_primer_part03-021-topo.png,Dating Date Post AD800 
22,hillforts_primer_part03-022-topo.png,Dating Date Unknown No (Known)
23,hillforts_primer_part03-023-topo.png,Dating Date Unknown 
24,hillforts_primer_part03-024-topo.png,Date Reliability
25,hillforts_primer_part03-025-topo.png,Dating Date Reliability D None
26,hillforts_primer_part03-026-topo.png,Dating Date Reliability C Low
27,hillforts_primer_part03-027-topo.png,Dating Date Reliability B Medium
28,hillforts_primer_part03-028-topo.png,Dating Date Reliability A High
29,hillforts_primer_part03-029-topo.png,Dating Date Reliability NA
30,hillforts_primer_part03-030-topo.png,Dating Pre 
31,hillforts_primer_part03-031-topo.png,Dating Post 
32,hillforts_primer_part03-032-topo.png,Proportions of Dated Hillforts by Region
33,hillforts_primer_part03-033-topo.png,Related Dating Artefactual 
34,hillforts_primer_part03-034-topo.png,Density Related Dating Artefactual
35,hillforts_primer_part03-035-topo.png,Related Dating Artefactual plus Swindon & Oxford
36,hillforts_primer_part03-036-topo.png,Related Dating Morph Earth Typo 
37,hillforts_primer_part03-037-topo.png,Density Related Dating Morph Earth Typo
38,hillforts_primer_part03-038-topo.png,Related Dating C14 
39,hillforts_primer_part03-039-topo.png,Density Related Dating C14
40,hillforts_primer_part03-040-topo.png,Related Dating Other 
41,hillforts_primer_part03-041-topo.png,Related Dating NA 
