fig_no,file_name,title
1,hillforts_primer_part05-001-topo.png,Entrances Breaks
2,hillforts_primer_part05-002-topo.png,Entrances Breaks Range
3,hillforts_primer_part05-003-topo.png,Entrances Breaks 
4,hillforts_primer_part05-004-topo.png,Distribution of IQR (0 to 2)
5,hillforts_primer_part05-005-topo.png,Density   Entrances Breaks IQR (Middle 50%) (0 to 2)
6,hillforts_primer_part05-006-topo.png,Distribution of Upper Quartile (3 to 5)
7,hillforts_primer_part05-007-topo.png,Density   Entrances Breaks Upper Quartile (3 to 5)
8,hillforts_primer_part05-008-topo.png,Distribution of Outliers (6+)
9,hillforts_primer_part05-009-topo.png,Entrances Breaks (0)
10,hillforts_primer_part05-010-topo.png,Entrances Breaks (0)   Northeast
11,hillforts_primer_part05-011-topo.png,Density   Entrances Breaks (0) 
12,hillforts_primer_part05-012-topo.png,Entrances Breaks (1)
13,hillforts_primer_part05-013-topo.png,Density   Entrances Breaks (1) 
14,hillforts_primer_part05-014-topo.png,Entrances Breaks (2)
15,hillforts_primer_part05-015-topo.png,Entrances Breaks (2) and Possible Linears   South
16,hillforts_primer_part05-016-topo.png,Density   Entrances Breaks (2) 
17,hillforts_primer_part05-017-topo.png,Entrances Breaks (3)
18,hillforts_primer_part05-018-topo.png,Density   Entrances Breaks (3) 
19,hillforts_primer_part05-019-topo.png,Entrances Breaks (4)
20,hillforts_primer_part05-020-topo.png,Density   Entrances Breaks (4) 
21,hillforts_primer_part05-021-topo.png,Entrances Breaks (4)   Northeast
22,hillforts_primer_part05-022-topo.png,Four Entrance Breaks (NE) Dating
23,hillforts_primer_part05-023-topo.png,Four Entrance Breaks (NE) Dating (Excluding Unknown)
24,hillforts_primer_part05-024-topo.png,Entrances Breaks (5)
25,hillforts_primer_part05-025-topo.png,Entrances Breaks (not recorded)
26,hillforts_primer_part05-026-topo.png,Entrances Original
27,hillforts_primer_part05-027-topo.png,Entrances Original Range
28,hillforts_primer_part05-028-topo.png,Entrances Original (Not recorded)
29,hillforts_primer_part05-029-topo.png,Entrances Original (0)
30,hillforts_primer_part05-030-topo.png,Density   Entrances Original Density (0) 
31,hillforts_primer_part05-031-topo.png,Entrances Original (1)
32,hillforts_primer_part05-032-topo.png,Density   Entrances Original Density (1) 
33,hillforts_primer_part05-033-topo.png,Entrances Original (2)
34,hillforts_primer_part05-034-topo.png,Density   Entrances Original Density (2) 
35,hillforts_primer_part05-035-topo.png,Entrances Original (3)
36,hillforts_primer_part05-036-topo.png,Density   Entrances Original Density (3) 
37,hillforts_primer_part05-037-topo.png,Entrances Original (4 or more (Outliers))
38,hillforts_primer_part05-038-topo.png,Entrances
39,hillforts_primer_part05-039-topo.png,Entrances Guard Chambers Entrances Guard Chambers
40,hillforts_primer_part05-040-topo.png,Entrances Chevaux Entrances Chevaux
41,hillforts_primer_part05-041-topo.png,Enclosing Area 1 
42,hillforts_primer_part05-042-topo.png,Enclosing Area 1 clip (hectares)
