image_no,file_name,title
1,hillforts_primer_sample_001.jpg,The hills and mountains of Britain and Ireland
2,hillforts_primer_sample_002.jpg,The distribution of hillforts
3,hillforts_primer_sample_003.jpg,The distribution of confirmed hillforts
4,hillforts_primer_sample_004.jpg,The distribution of unconfirmed hillforts
5,hillforts_primer_sample_005.jpg,The distribution of hillforts with irreconciled issues
6,hillforts_primer_sample_006.jpg,The distribution of hillforts where citizen science was carried out
7,hillforts_primer_sample_007.jpg,The density of hillforts
8,hillforts_primer_sample_008.jpg,Histogram showing the distribution of hillforts from east to west
9,hillforts_primer_sample_009.jpg,Histogram showing the distribution of hillforts from south to north
10,hillforts_primer_sample_010.jpg,The density of hillforts in five regional data packages
11,hillforts_primer_sample_011.jpg,The hillfort density of the southern data package with boxplot. The red boxplot shows the extent of 50% of the data within this regional data package (the interquartile range). The black boxplot shows the extent of 95.6% of the data.                
12,hillforts_primer_sample_012.jpg,The hillfort density of the northeast data package with boxplot. The red boxplot shows the extent of 50% of the data within this regional data package (the interquartile range). The black boxplot shows the extent of 95.6% of the data.                
13,hillforts_primer_sample_013.jpg,The hillfort density of the northwest data package with boxplot. The red boxplot shows the extent of 50% of the data within this regional data package (the interquartile range). The black boxplot shows the extent of 95.6% of the data.                
14,hillforts_primer_sample_014.jpg,The hillfort density of the Irish data package with boxplot.  
15,hillforts_primer_sample_015.jpg,The hillfort density of the Irish data packages with boxplot. The red boxplot shows the extent of 50% of the data within this regional data package (the interquartile range). The black boxplot shows the extent of 95.6% of the data.                
16,hillforts_primer_sample_016.jpg,Hillfort condition
17,hillforts_primer_sample_017.jpg,The distribution of extant forts
18,hillforts_primer_sample_018.jpg,The distribution of cropmark forts
19,hillforts_primer_sample_019.jpg,The density of cropmark forts
20,hillforts_primer_sample_020.jpg,The distribution of destroyed forts
21,hillforts_primer_sample_021.jpg,The altitude of hillforts
22,hillforts_primer_sample_022.jpg,The distribution of hillforts by altitude
23,hillforts_primer_sample_023.jpg,The count of hillforts by altitude
24,hillforts_primer_sample_024.jpg,The distribution of contour forts
25,hillforts_primer_sample_025.jpg,The density of contour forts
26,hillforts_primer_sample_026.jpg,The distribution of promontory forts
27,hillforts_primer_sample_027.jpg,The density of promontory forts
28,hillforts_primer_sample_028.jpg,The count of hillforts by topographic type
29,hillforts_primer_sample_029.jpg,The distribution of hilltop forts
30,hillforts_primer_sample_030.jpg,The density of hilltop forts
31,hillforts_primer_sample_031.jpg,The distribution of coastal forts
32,hillforts_primer_sample_032.jpg,The aspect of hillforts
33,hillforts_primer_sample_033.jpg,Spider plot of hillfort aspect
34,hillforts_primer_sample_034.jpg,The dating of hillforts
35,hillforts_primer_sample_035.jpg,The dating of hillforts - using only dated forts
36,hillforts_primer_sample_036.jpg,The distribution of dated forts
37,hillforts_primer_sample_037.jpg,The distribution of undated forts
38,hillforts_primer_sample_038.jpg,Dating reliability
39,hillforts_primer_sample_039.jpg,Hillforts dated by region
40,hillforts_primer_sample_040.jpg,The form of interior features within hillforts
